InventoryID,ProductID,WarehouseID,CurrentStock,ReservedStock,SafetyStockLevel,ReorderPoint,MaxStockLevel,LastUpdated,AverageCost,Status,CreatedBy,CreatedDate
27,1581,1,24,3,32,48,258,2026-04-28,48.56,LowStock,system,2025-11-06
28,2011,1,51,13,13,21,121,2026-04-29,124.64,Active,system,2025-09-23
29,2011,2,168,0,13,21,121,2026-04-29,124.64,Active,system,2025-09-23
30,2012,1,105,13,25,31,203,2026-04-28,312.61,Active,system,2026-01-22
31,2012,2,0,0,25,31,203,2026-04-28,312.61,Active,system,2026-01-22
32,2021,1,216,16,34,52,177,2026-04-29,71.31,Active,system,2025-10-18
33,2022,1,84,26,16,24,163,2026-04-29,36.37,Active,system,2026-03-06
34,2031,1,157,13,34,63,124,2026-04-28,23.04,Active,system,2026-03-06
35,2041,1,94,2,12,18,99,2026-04-28,44.39,Active,system,2025-09-30
36,2051,1,137,16,18,24,112,2026-04-29,16.44,Active,system,2026-01-10
37,2051,2,11,0,18,24,112,2026-04-29,16.44,Active,system,2026-01-10
38,2061,1,64,25,20,39,124,2026-04-28,25.72,Active,system,2025-09-10
39,2071,1,214,1,8,14,41,2026-04-29,21.94,LowStock,system,2025-12-07
40,2071,2,108,0,8,14,41,2026-04-29,21.94,Active,system,2025-12-07
41,2081,2,128,23,25,40,115,2026-04-28,25.3,Active,system,2025-08-26
42,2091,1,86,1,5,7,30,2026-04-28,7.98,Active,system,2025-11-26
43,2101,2,156,11,16,22,79,2026-04-28,13.5,Active,system,2025-11-12
44,2111,2,90,6,4,6,34,2026-04-28,142.6,Active,system,2025-09-03
45,2112,1,39,15,35,54,216,2026-04-28,66.6,Active,system,2025-07-02
46,2121,1,7,4,8,10,62,2026-04-28,31.62,Active,system,2026-03-26
47,3011,1,318,32,27,49,211,2026-04-28,968.68,Active,system,2025-07-30
48,3012,1,120,56,32,56,195,2026-04-28,659.11,Excess,system,2025-09-03
49,3012,2,0,0,32,56,195,2026-04-28,659.11,Active,system,2025-09-03
50,3013,1,299,14,32,43,260,2026-04-29,344.68,Active,system,2025-12-14
51,3021,1,93,3,20,25,82,2026-04-29,270.38,LowStock,system,2026-01-26
52,3022,1,66,7,7,12,37,2026-04-28,352.53,Excess,system,2026-02-07
53,3022,2,0,0,7,12,37,2026-04-28,352.53,Active,system,2026-02-07
54,3031,3,29,9,28,42,97,2026-04-28,419.97,Active,system,2025-10-15
55,3031,2,0,0,28,42,97,2026-04-28,419.97,Active,system,2025-10-15
56,3032,1,36,13,10,13,75,2026-04-29,240.85,Active,system,2025-10-29
57,3033,1,257,13,19,34,121,2026-04-28,419.49,Active,system,2026-01-24
58,3041,2,185,24,19,33,124,2026-04-29,127.74,Active,system,2025-10-28
59,3041,2,185,0,19,33,124,2026-04-29,127.74,Active,system,2025-10-28
60,3042,1,255,48,45,88,192,2026-04-29,62.54,Excess,system,2025-07-01
61,3042,2,0,0,45,88,192,2026-04-29,62.54,Active,system,2025-07-01
62,3051,1,0,0,14,24,121,2026-04-29,226.49,Active,system,2026-02-21
63,3052,1,11,6,38,68,183,2026-04-29,115.25,LowStock,system,2026-03-05
64,3052,2,56,0,38,68,183,2026-04-29,115.25,Active,system,2026-03-05
65,3053,1,135,13,16,21,99,2026-04-29,180.15,Excess,system,2025-09-02
66,3061,1,66,4,20,25,166,2026-04-29,151.7,Active,system,2026-02-06
67,3062,3,207,2,11,15,48,2026-04-29,88.18,LowStock,system,2026-01-29
68,3071,2,67,2,21,36,115,2026-04-28,39.17,Active,system,2026-03-26
69,3072,1,148,28,28,34,116,2026-04-28,10.7,Active,system,2025-11-15
70,3081,1,110,11,8,11,65,2026-04-29,58.16,Active,system,2026-02-27
71,3082,1,51,27,23,39,147,2026-04-29,84.82,Active,system,2025-12-12
72,3091,2,59,24,34,41,138,2026-04-28,456.94,Active,system,2025-07-07
73,3091,2,59,0,34,41,138,2026-04-28,456.94,Active,system,2025-07-07
74,3092,1,161,51,26,42,249,2026-04-28,540.11,Excess,system,2025-07-17
75,3101,1,20,11,34,41,156,2026-04-29,114.44,Active,system,2025-12-16
76,3102,1,83,23,17,24,88,2026-04-28,173.13,Active,system,2025-07-23
77,3102,2,56,0,17,24,88,2026-04-28,173.13,Active,system,2025-07-23
78,3103,1,220,14,25,34,163,2026-04-29,180.33,Active,system,2025-12-11
79,3103,2,0,0,25,34,163,2026-04-29,180.33,Active,system,2025-12-11
80,3104,2,289,40,24,31,149,2026-04-29,118.89,Active,system,2025-07-19
81,3104,2,289,0,24,31,149,2026-04-29,118.89,Active,system,2025-07-19
