ProductSupplierID,ProductID,ProductName,ProductCategory,SupplierID,SupplierName,SupplierProductCode,WholesaleCost,MinOrderQuantity,MaxOrderQuantity,LeadTimeDays,Status,CreatedBy,CreatedDate
55,3062,Anti-Fog Ski Goggles,Ski,3,Alpine Ski House,ALP-3062,94.98,5,1000.0,13,Active,system,2025-11-19 00:00:00
56,3071,Ski Boot Bag - Premium,Ski,3,Alpine Ski House,ALP-3071,38.11,1,,15,Active,system,2025-12-28 00:00:00
57,3072,Hand Warmers - 10 Pack,Ski,3,Alpine Ski House,ALP-3072,9.14,10,10000.0,15,Active,system,2026-03-17 00:00:00
58,3081,All-Temp Ski Wax Kit,Ski,3,Alpine Ski House,ALP-3081,49.05,50,,10,Active,system,2026-01-25 00:00:00
59,3082,Edge Tuning Tool Set,Ski,3,Alpine Ski House,ALP-3082,94.57,25,,11,Active,system,2026-01-21 00:00:00
60,3082,Edge Tuning Tool Set,Ski,4,Worldwide Importers,WOR-3082,95.56,25,5000.0,20,Active,system,2026-03-19 00:00:00
61,3091,Freestyle Snowboard - 155cm,Ski,3,Alpine Ski House,ALP-3091,392.32,50,5000.0,11,Active,system,2026-03-23 00:00:00
62,3091,Freestyle Snowboard - 155cm,Ski,4,Worldwide Importers,WOR-3091,531.14,10,2000.0,21,Active,system,2025-12-02 00:00:00
63,3092,All-Mountain Snowboard - 158cm,Ski,3,Alpine Ski House,ALP-3092,602.17,5,10000.0,10,Active,system,2025-12-28 00:00:00
64,3101,Winter Boots - Insulated,Ski,3,Alpine Ski House,ALP-3101,109.04,5,5000.0,9,Active,system,2026-03-11 00:00:00
65,3101,Winter Boots - Insulated,Ski,5,Fabrikam,FAB-3101,134.25,25,5000.0,12,Active,system,2026-03-08 00:00:00
66,3102,Winter Hiking Boots - Waterproof,Ski,3,Alpine Ski House,ALP-3102,161.94,1,5000.0,14,Active,system,2025-11-27 00:00:00
67,3103,Snowboard Bindings - Pro,Ski,3,Alpine Ski House,ALP-3103,221.41,25,10000.0,11,Active,system,2025-11-28 00:00:00
68,3104,Ski Tuning Bench - Portable,Ski,3,Alpine Ski House,ALP-3104,134.62,1,1000.0,11,Active,system,2026-03-26 00:00:00
