ForecastID,ProductID,ProductName,ForecastDate,ForecastPeriod,PredictedDemand,ConfidenceLevel,SeasonalMultiplier,TrendDirection,BaselineDemand,SalesTrendMultiplier,CompoundTrendMultiplier,MethodUsed,ForecastHorizon,ActualDemand,AccuracyScore,CreatedBy,CreatedDate
22,1551,BaseCamp Folding Table,2027-01-01,Monthly,92,79.0,1.0,Growing,86,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-12-04
23,1551,BaseCamp Folding Table,2027-01-01,Weekly,21,80.73,1.0,Growing,86,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-06
24,1551,BaseCamp Folding Table,2027-01-08,Weekly,21,77.76,1.0,Growing,86,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-27
25,1551,BaseCamp Folding Table,2027-01-15,Weekly,21,76.54,1.0,Growing,86,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-22
26,1551,BaseCamp Folding Table,2027-01-22,Weekly,21,78.83,1.0,Growing,86,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-04
27,1551,BaseCamp Folding Table,2027-02-01,Monthly,100,79.0,1.0,Growing,86,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-12-23
28,1551,BaseCamp Folding Table,2027-03-01,Monthly,108,79.0,1.0,Growing,86,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-12-03
29,1561,EcoFire Camping Stove,2027-01-01,Monthly,77,87.79,1.0,Growing,72,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-12-22
30,1561,EcoFire Camping Stove,2027-01-01,Weekly,17,87.44,1.0,Growing,72,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-22
31,1561,EcoFire Camping Stove,2027-01-08,Weekly,17,86.6,1.0,Growing,72,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-24
32,1561,EcoFire Camping Stove,2027-01-15,Weekly,17,82.8,1.0,Growing,72,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-09
33,1561,EcoFire Camping Stove,2027-01-22,Weekly,17,89.04,1.0,Growing,72,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-20
34,1561,EcoFire Camping Stove,2027-02-01,Monthly,83,87.79,1.0,Growing,72,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-12-06
35,1561,EcoFire Camping Stove,2027-03-01,Monthly,90,87.79,1.0,Growing,72,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-12-07
36,1571,CozyNights Sleeping Bag,2027-01-01,Monthly,92,90.88,1.0,Growing,86,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-12-19
37,1571,CozyNights Sleeping Bag,2027-01-01,Weekly,21,90.83,1.0,Growing,86,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-08
38,1571,CozyNights Sleeping Bag,2027-01-08,Weekly,21,93.4,1.0,Growing,86,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-17
39,1571,CozyNights Sleeping Bag,2027-01-15,Weekly,21,91.15,1.0,Growing,86,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-21
40,1571,CozyNights Sleeping Bag,2027-01-22,Weekly,21,92.13,1.0,Growing,86,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-18
41,1571,CozyNights Sleeping Bag,2027-02-01,Monthly,100,90.88,1.0,Growing,86,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-12-17
42,1571,CozyNights Sleeping Bag,2027-03-01,Monthly,108,90.88,1.0,Growing,86,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-12-29
43,1511,Alpine Explorer Tent,2027-01-01,Monthly,243,83.88,1.0,Growing,225,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-12-04
44,1511,Alpine Explorer Tent,2027-01-01,Weekly,56,87.27,1.0,Growing,225,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-23
45,1511,Alpine Explorer Tent,2027-01-08,Weekly,56,87.26,1.0,Growing,225,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-30
46,1511,Alpine Explorer Tent,2027-01-15,Weekly,56,79.96,1.0,Growing,225,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-07
47,1511,Alpine Explorer Tent,2027-01-22,Weekly,56,83.68,1.0,Growing,225,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-01
48,1511,Alpine Explorer Tent,2027-02-01,Monthly,262,83.88,1.0,Growing,225,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-12-14
49,1511,Alpine Explorer Tent,2027-03-01,Monthly,283,83.88,1.0,Growing,225,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-12-26
50,1522,SummitClimber Backpack,2027-01-01,Monthly,220,89.96,1.0,Growing,204,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-12-21
51,1522,SummitClimber Backpack,2027-01-01,Weekly,51,92.49,1.0,Growing,204,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-03
52,1522,SummitClimber Backpack,2027-01-08,Weekly,51,85.21,1.0,Growing,204,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-12
53,1522,SummitClimber Backpack,2027-01-15,Weekly,51,93.13,1.0,Growing,204,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-13
54,1522,SummitClimber Backpack,2027-01-22,Weekly,51,89.79,1.0,Growing,204,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-20
55,1522,SummitClimber Backpack,2027-02-01,Monthly,237,89.96,1.0,Growing,204,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-12-28
56,1522,SummitClimber Backpack,2027-03-01,Monthly,256,89.96,1.0,Growing,204,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-12-15
57,1532,TrailBlaze Hiking Pants,2027-01-01,Monthly,206,92.53,1.0,Growing,191,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-12-10
58,1532,TrailBlaze Hiking Pants,2027-01-01,Weekly,47,92.63,1.0,Growing,191,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-26
59,1532,TrailBlaze Hiking Pants,2027-01-08,Weekly,47,94.0,1.0,Growing,191,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-06
60,1532,TrailBlaze Hiking Pants,2027-01-15,Weekly,47,89.22,1.0,Growing,191,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-11
61,1532,TrailBlaze Hiking Pants,2027-01-22,Weekly,47,93.94,1.0,Growing,191,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-06
62,1532,TrailBlaze Hiking Pants,2027-02-01,Monthly,222,92.53,1.0,Growing,191,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-12-28
63,1532,TrailBlaze Hiking Pants,2027-03-01,Monthly,240,92.53,1.0,Growing,191,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-12-11
64,1542,TrailWalker Hiking Shoes,2027-01-01,Monthly,141,78.21,1.0,Growing,131,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-12-06
65,1542,TrailWalker Hiking Shoes,2027-01-01,Weekly,32,77.47,1.0,Growing,131,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-20
66,1542,TrailWalker Hiking Shoes,2027-01-08,Weekly,32,74.5,1.0,Growing,131,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-06
67,1542,TrailWalker Hiking Shoes,2027-01-15,Weekly,32,77.06,1.0,Growing,131,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-07
68,1542,TrailWalker Hiking Shoes,2027-01-22,Weekly,32,81.53,1.0,Growing,131,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-20
69,1542,TrailWalker Hiking Shoes,2027-02-01,Monthly,152,78.21,1.0,Growing,131,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-12-01
70,1542,TrailWalker Hiking Shoes,2027-03-01,Monthly,165,78.21,1.0,Growing,131,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-12-11
71,1552,TrekMaster Camping Chair,2027-01-01,Monthly,90,84.96,1.0,Growing,84,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-12-04
72,1552,TrekMaster Camping Chair,2027-01-01,Weekly,20,83.23,1.0,Growing,84,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-02
73,1552,TrekMaster Camping Chair,2027-01-08,Weekly,20,80.92,1.0,Growing,84,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-14
74,1552,TrekMaster Camping Chair,2027-01-15,Weekly,20,81.24,1.0,Growing,84,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-28
75,1552,TrekMaster Camping Chair,2027-01-22,Weekly,20,89.92,1.0,Growing,84,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-12
76,1552,TrekMaster Camping Chair,2027-02-01,Monthly,97,84.96,1.0,Growing,84,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-12-23
77,1552,TrekMaster Camping Chair,2027-03-01,Monthly,105,84.96,1.0,Growing,84,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-12-03
78,1562,PowerBurner Camping Stove,2027-01-01,Monthly,73,75.81,1.0,Growing,68,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-12-29
79,1562,PowerBurner Camping Stove,2027-01-01,Weekly,16,74.31,1.0,Growing,68,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-24
80,1562,PowerBurner Camping Stove,2027-01-08,Weekly,16,74.9,1.0,Growing,68,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-11
81,1562,PowerBurner Camping Stove,2027-01-15,Weekly,16,75.07,1.0,Growing,68,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-27
82,1562,PowerBurner Camping Stove,2027-01-22,Weekly,16,79.49,1.0,Growing,68,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-12
83,1562,PowerBurner Camping Stove,2027-02-01,Monthly,79,75.81,1.0,Growing,68,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-12-19
84,1562,PowerBurner Camping Stove,2027-03-01,Monthly,85,75.81,1.0,Growing,68,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-12-29
85,1572,MountainDream Sleeping Bag,2027-01-01,Monthly,90,86.9,1.0,Growing,84,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-12-19
86,1572,MountainDream Sleeping Bag,2027-01-01,Weekly,20,87.92,1.0,Growing,84,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-23
87,1572,MountainDream Sleeping Bag,2027-01-08,Weekly,20,87.71,1.0,Growing,84,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-27
88,1572,MountainDream Sleeping Bag,2027-01-15,Weekly,20,85.83,1.0,Growing,84,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-15
89,1572,MountainDream Sleeping Bag,2027-01-22,Weekly,20,84.13,1.0,Growing,84,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-03
90,1572,MountainDream Sleeping Bag,2027-02-01,Monthly,97,86.9,1.0,Growing,84,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-12-06
91,1572,MountainDream Sleeping Bag,2027-03-01,Monthly,105,86.9,1.0,Growing,84,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-12-22
92,1512,SkyView 2-Person Tent,2027-01-01,Monthly,245,76.28,1.0,Growing,227,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-12-04
93,1512,SkyView 2-Person Tent,2027-01-01,Weekly,56,74.03,1.0,Growing,227,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-02
94,1512,SkyView 2-Person Tent,2027-01-08,Weekly,56,74.36,1.0,Growing,227,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-05
95,1512,SkyView 2-Person Tent,2027-01-15,Weekly,56,71.61,1.0,Growing,227,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-25
96,1512,SkyView 2-Person Tent,2027-01-22,Weekly,56,74.38,1.0,Growing,227,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-29
97,1512,SkyView 2-Person Tent,2027-02-01,Monthly,264,76.28,1.0,Growing,227,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-12-27
98,1512,SkyView 2-Person Tent,2027-03-01,Monthly,285,76.28,1.0,Growing,227,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-12-04
99,1523,TrailLite Daypack,2027-01-01,Monthly,241,88.23,1.0,Growing,224,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-12-14
100,1523,TrailLite Daypack,2027-01-01,Weekly,56,92.51,1.0,Growing,224,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-07
101,1523,TrailLite Daypack,2027-01-08,Weekly,56,90.21,1.0,Growing,224,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-03
102,1523,TrailLite Daypack,2027-01-15,Weekly,56,84.16,1.0,Growing,224,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-15
103,1523,TrailLite Daypack,2027-01-22,Weekly,56,87.88,1.0,Growing,224,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-11
104,1523,TrailLite Daypack,2027-02-01,Monthly,261,88.23,1.0,Growing,224,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-12-20
105,1523,TrailLite Daypack,2027-03-01,Monthly,282,88.23,1.0,Growing,224,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-12-04
106,1533,RainGuard Hiking Jacket,2027-01-01,Monthly,204,75.68,1.0,Growing,189,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-12-24
107,1533,RainGuard Hiking Jacket,2027-01-01,Weekly,47,76.37,1.0,Growing,189,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-11
108,1533,RainGuard Hiking Jacket,2027-01-08,Weekly,47,80.44,1.0,Growing,189,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-01
109,1533,RainGuard Hiking Jacket,2027-01-15,Weekly,47,76.87,1.0,Growing,189,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-05
110,1533,RainGuard Hiking Jacket,2027-01-22,Weekly,47,71.93,1.0,Growing,189,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-09
111,1533,RainGuard Hiking Jacket,2027-02-01,Monthly,220,75.68,1.0,Growing,189,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-12-21
112,1533,RainGuard Hiking Jacket,2027-03-01,Monthly,238,75.68,1.0,Growing,189,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-12-10
113,1543,TrekStar Hiking Sandals,2027-01-01,Monthly,152,77.09,1.0,Growing,141,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-12-27
114,1543,TrekStar Hiking Sandals,2027-01-01,Weekly,35,78.83,1.0,Growing,141,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-25
115,1543,TrekStar Hiking Sandals,2027-01-08,Weekly,35,80.27,1.0,Growing,141,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-09
116,1543,TrekStar Hiking Sandals,2027-01-15,Weekly,35,77.22,1.0,Growing,141,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-10
117,1543,TrekStar Hiking Sandals,2027-01-22,Weekly,35,80.31,1.0,Growing,141,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-14
118,1543,TrekStar Hiking Sandals,2027-02-01,Monthly,164,77.09,1.0,Growing,141,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-12-24
119,1543,TrekStar Hiking Sandals,2027-03-01,Monthly,177,77.09,1.0,Growing,141,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-12-23
120,1553,Adventure Dining Table,2027-01-01,Monthly,86,79.0,1.0,Growing,80,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-12-14
121,1553,Adventure Dining Table,2027-01-01,Weekly,20,80.09,1.0,Growing,80,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-08
122,1553,Adventure Dining Table,2027-01-08,Weekly,20,77.7,1.0,Growing,80,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-06
123,1553,Adventure Dining Table,2027-01-15,Weekly,20,77.96,1.0,Growing,80,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-21
124,1553,Adventure Dining Table,2027-01-22,Weekly,20,79.27,1.0,Growing,80,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-11
125,1553,Adventure Dining Table,2027-02-01,Monthly,93,79.0,1.0,Growing,80,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-12-29
126,1553,Adventure Dining Table,2027-03-01,Monthly,100,79.0,1.0,Growing,80,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-12-17
127,1563,CompactCook Camping Stove,2027-01-01,Monthly,77,91.26,1.0,Growing,72,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-12-16
128,1563,CompactCook Camping Stove,2027-01-01,Weekly,17,91.52,1.0,Growing,72,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-05
129,1563,CompactCook Camping Stove,2027-01-08,Weekly,17,92.74,1.0,Growing,72,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-23
130,1563,CompactCook Camping Stove,2027-01-15,Weekly,17,89.39,1.0,Growing,72,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-24
131,1563,CompactCook Camping Stove,2027-01-22,Weekly,17,94.89,1.0,Growing,72,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-04
132,1563,CompactCook Camping Stove,2027-02-01,Monthly,83,91.26,1.0,Growing,72,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-12-30
133,1563,CompactCook Camping Stove,2027-03-01,Monthly,90,91.26,1.0,Growing,72,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-12-10
134,1581,LED Headlamp - Rechargeable,2027-01-01,Monthly,77,94.91,1.0,Growing,72,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-12-08
135,1581,LED Headlamp - Rechargeable,2027-01-01,Weekly,17,95.8,1.0,Growing,72,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-16
136,1581,LED Headlamp - Rechargeable,2027-01-08,Weekly,17,95.96,1.0,Growing,72,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-12
137,1581,LED Headlamp - Rechargeable,2027-01-15,Weekly,17,94.97,1.0,Growing,72,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-10
138,1581,LED Headlamp - Rechargeable,2027-01-22,Weekly,17,92.47,1.0,Growing,72,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-20
139,1581,LED Headlamp - Rechargeable,2027-02-01,Monthly,83,94.91,1.0,Growing,72,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-12-09
140,1581,LED Headlamp - Rechargeable,2027-03-01,Monthly,90,94.91,1.0,Growing,72,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-12-08
141,2011,Coffee Maker,2027-01-01,Monthly,217,76.88,1.0,Growing,201,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-12-20
142,2011,Coffee Maker,2027-01-01,Weekly,50,77.75,1.0,Growing,201,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-12
143,2011,Coffee Maker,2027-01-08,Weekly,50,75.12,1.0,Growing,201,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-21
144,2011,Coffee Maker,2027-01-15,Weekly,50,74.11,1.0,Growing,201,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-11
145,2011,Coffee Maker,2027-01-22,Weekly,50,80.84,1.0,Growing,201,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-04
146,2011,Coffee Maker,2027-02-01,Monthly,234,76.88,1.0,Growing,201,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-12-10
147,2011,Coffee Maker,2027-03-01,Monthly,253,76.88,1.0,Growing,201,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-12-06
148,2012,Espresso Machine,2027-01-01,Monthly,225,83.7,1.0,Growing,209,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-12-20
149,2012,Espresso Machine,2027-01-01,Weekly,52,81.57,1.0,Growing,209,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-15
150,2012,Espresso Machine,2027-01-08,Weekly,52,82.13,1.0,Growing,209,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-23
151,2012,Espresso Machine,2027-01-15,Weekly,52,79.25,1.0,Growing,209,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-16
152,2012,Espresso Machine,2027-01-22,Weekly,52,87.8,1.0,Growing,209,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-18
153,2012,Espresso Machine,2027-02-01,Monthly,243,83.7,1.0,Growing,209,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-12-01
154,2012,Espresso Machine,2027-03-01,Monthly,263,83.7,1.0,Growing,209,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-12-04
155,2021,Chef Knife,2027-01-01,Monthly,150,84.05,1.0,Growing,139,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-12-10
156,2021,Chef Knife,2027-01-01,Weekly,34,86.85,1.0,Growing,139,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-27
157,2021,Chef Knife,2027-01-08,Weekly,34,81.94,1.0,Growing,139,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-24
158,2021,Chef Knife,2027-01-15,Weekly,34,83.07,1.0,Growing,139,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-01
159,2021,Chef Knife,2027-01-22,Weekly,34,83.45,1.0,Growing,139,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-18
160,2021,Chef Knife,2027-02-01,Monthly,162,84.05,1.0,Growing,139,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-12-27
161,2021,Chef Knife,2027-03-01,Monthly,175,84.05,1.0,Growing,139,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-12-12
162,2022,Fork Set,2027-01-01,Monthly,157,94.25,1.0,Growing,146,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-12-10
163,2022,Fork Set,2027-01-01,Weekly,36,98.92,1.0,Growing,146,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-20
164,2022,Fork Set,2027-01-08,Weekly,36,96.83,1.0,Growing,146,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-11
165,2022,Fork Set,2027-01-15,Weekly,36,92.33,1.0,Growing,146,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-12-12
