ProductSupplierID,ProductID,SupplierID,SupplierProductCode,WholesaleCost,MinOrderQuantity,MaxOrderQuantity,LeadTimeDays,Status,CreatedBy,CreatedDate
46,3013,3,ALP-3013,344.68,50,5000.0,13,Active,system,2026-03-14
47,3021,3,ALP-3021,262.32,10,5000.0,11,Active,system,2026-03-09
48,3021,5,FAB-3021,278.45,25,5000.0,14,Active,system,2026-01-09
49,3022,3,ALP-3022,352.53,5,10000.0,15,Active,system,2026-02-18
50,3031,3,ALP-3031,419.97,1,1000.0,10,Active,system,2026-01-10
51,3032,3,ALP-3032,240.85,10,,14,Active,system,2026-01-06
52,3033,3,ALP-3033,419.49,10,,15,Active,system,2025-12-03
53,3041,3,ALP-3041,127.74,25,10000.0,11,Active,system,2026-03-14
54,3042,3,ALP-3042,62.54,1,,12,Active,system,2025-12-13
55,3051,3,ALP-3051,226.49,50,1000.0,14,Active,system,2025-12-07
56,3052,3,ALP-3052,115.25,50,5000.0,10,Active,system,2025-12-11
57,3053,3,ALP-3053,154.8,5,1000.0,15,Active,system,2025-12-17
58,3053,4,WOR-3053,174.26,25,5000.0,21,Active,system,2026-02-22
59,3053,5,FAB-3053,211.38,50,5000.0,17,Active,system,2026-01-01
60,3061,3,ALP-3061,151.7,5,5000.0,14,Active,system,2025-12-02
61,3062,3,ALP-3062,81.58,1,1000.0,10,Active,system,2026-01-10
62,3062,5,FAB-3062,94.79,10,2000.0,19,Active,system,2025-12-14
63,3071,3,ALP-3071,39.17,10,1000.0,10,Active,system,2025-11-16
64,3072,3,ALP-3072,9.99,10,5000.0,12,Active,system,2025-12-25
65,3072,5,FAB-3072,11.41,50,2000.0,18,Active,system,2026-02-13
66,3081,3,ALP-3081,58.16,1,,9,Active,system,2026-03-08
67,3082,3,ALP-3082,84.82,50,,14,Active,system,2026-03-07
68,3091,3,ALP-3091,456.94,5,,15,Active,system,2025-12-11
69,3092,3,ALP-3092,540.11,5,1000.0,14,Active,system,2025-12-10
70,3101,3,ALP-3101,96.57,25,1000.0,13,Active,system,2026-03-23
71,3101,4,WOR-3101,132.32,25,500.0,16,Active,system,2026-03-21
72,3102,3,ALP-3102,151.35,50,10000.0,12,Active,system,2026-01-04
73,3102,5,FAB-3102,194.91,1,,12,Active,system,2025-12-31
74,3103,3,ALP-3103,180.33,5,1000.0,15,Active,system,2025-12-01
75,3104,3,ALP-3104,118.89,1,5000.0,12,Active,system,2026-01-19
