ForecastID,ProductID,ProductName,ProductCategory,ForecastDate,ForecastPeriod,PredictedDemand,ConfidenceLevel,SeasonalMultiplier,TrendDirection,BaselineDemand,SalesTrendMultiplier,CompoundTrendMultiplier,MethodUsed,ForecastHorizon,ActualDemand,AccuracyScore,CreatedBy,CreatedDate
13,1531,Summit Breeze Jacket,Camping,2026-06-01,Monthly,11,75.1,1.01,Stable,11,1.02,1.04,Recent Sales Trend Analysis + Seasonal,30,,,system,2026-03-16 11:10:41
14,1531,Summit Breeze Jacket,Camping,2026-07-01,Monthly,11,75.1,1.01,Stable,11,1.02,1.061,Recent Sales Trend Analysis + Seasonal,30,,,system,2026-03-16 11:10:41
15,1541,TrekReady Hiking Boots,Camping,2026-05-01,Monthly,27,62.05,1.02,Stable,26,1.02,1.02,Recent Sales Trend Analysis + Seasonal,30,,,system,2026-03-16 11:10:41
16,1541,TrekReady Hiking Boots,Camping,2026-05-01,Weekly,6,63.09,1.5,Stable,26,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
17,1541,TrekReady Hiking Boots,Camping,2026-05-08,Weekly,6,66.54,1.5,Stable,26,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
18,1541,TrekReady Hiking Boots,Camping,2026-05-15,Weekly,6,66.87,1.5,Stable,26,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
19,1541,TrekReady Hiking Boots,Camping,2026-05-22,Weekly,6,58.2,1.5,Stable,26,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
20,1541,TrekReady Hiking Boots,Camping,2026-06-01,Monthly,27,62.05,1.01,Stable,26,1.02,1.04,Recent Sales Trend Analysis + Seasonal,30,,,system,2026-03-16 11:10:41
21,1541,TrekReady Hiking Boots,Camping,2026-07-01,Monthly,27,62.05,1.01,Stable,26,1.02,1.061,Recent Sales Trend Analysis + Seasonal,30,,,system,2026-03-16 11:10:41
22,1551,BaseCamp Folding Table,Camping,2026-05-01,Monthly,9,74.01,1.02,Stable,9,1.02,1.02,Recent Sales Trend Analysis + Seasonal,30,,,system,2026-03-16 11:10:41
23,1551,BaseCamp Folding Table,Camping,2026-05-01,Weekly,2,78.88,1.5,Stable,9,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
24,1551,BaseCamp Folding Table,Camping,2026-05-08,Weekly,2,72.33,1.5,Stable,9,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
25,1551,BaseCamp Folding Table,Camping,2026-05-15,Weekly,2,69.56,1.5,Stable,9,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
26,1551,BaseCamp Folding Table,Camping,2026-05-22,Weekly,2,70.42,1.5,Stable,9,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
27,1551,BaseCamp Folding Table,Camping,2026-06-01,Monthly,9,74.01,1.01,Stable,9,1.02,1.04,Recent Sales Trend Analysis + Seasonal,30,,,system,2026-03-16 11:10:41
28,1551,BaseCamp Folding Table,Camping,2026-07-01,Monthly,9,74.01,1.01,Stable,9,1.02,1.061,Recent Sales Trend Analysis + Seasonal,30,,,system,2026-03-16 11:10:41
29,1561,EcoFire Camping Stove,Camping,2026-05-01,Monthly,32,79.91,1.02,Stable,31,1.02,1.02,Recent Sales Trend Analysis + Seasonal,30,,,system,2026-03-16 11:10:41
30,1561,EcoFire Camping Stove,Camping,2026-05-01,Weekly,7,77.64,1.5,Stable,31,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
31,1561,EcoFire Camping Stove,Camping,2026-05-08,Weekly,7,77.51,1.5,Stable,31,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
32,1561,EcoFire Camping Stove,Camping,2026-05-15,Weekly,7,76.12,1.5,Stable,31,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
33,1561,EcoFire Camping Stove,Camping,2026-05-22,Weekly,7,83.94,1.5,Stable,31,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
34,1561,EcoFire Camping Stove,Camping,2026-06-01,Monthly,32,79.91,1.01,Stable,31,1.02,1.04,Recent Sales Trend Analysis + Seasonal,30,,,system,2026-03-16 11:10:41
35,1561,EcoFire Camping Stove,Camping,2026-07-01,Monthly,33,79.91,1.01,Stable,31,1.02,1.061,Recent Sales Trend Analysis + Seasonal,30,,,system,2026-03-16 11:10:41
36,1571,CozyNights Sleeping Bag,Camping,2026-05-01,Monthly,31,76.13,1.02,Stable,30,1.02,1.02,Recent Sales Trend Analysis + Seasonal,30,,,system,2026-03-16 11:10:41
37,1571,CozyNights Sleeping Bag,Camping,2026-05-01,Weekly,7,80.98,1.5,Stable,30,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
38,1571,CozyNights Sleeping Bag,Camping,2026-05-08,Weekly,7,79.98,1.5,Stable,30,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
39,1571,CozyNights Sleeping Bag,Camping,2026-05-15,Weekly,7,72.46,1.5,Stable,30,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
40,1571,CozyNights Sleeping Bag,Camping,2026-05-22,Weekly,7,78.48,1.5,Stable,30,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
41,1571,CozyNights Sleeping Bag,Camping,2026-06-01,Monthly,31,76.13,1.01,Stable,30,1.02,1.04,Recent Sales Trend Analysis + Seasonal,30,,,system,2026-03-16 11:10:41
42,1571,CozyNights Sleeping Bag,Camping,2026-07-01,Monthly,32,76.13,1.01,Stable,30,1.02,1.061,Recent Sales Trend Analysis + Seasonal,30,,,system,2026-03-16 11:10:41
43,1511,Alpine Explorer Tent,Camping,2026-05-01,Monthly,23,65.13,1.02,Stable,22,1.02,1.02,Recent Sales Trend Analysis + Seasonal,30,,,system,2026-03-16 11:10:41
44,1511,Alpine Explorer Tent,Camping,2026-05-01,Weekly,5,62.43,1.5,Stable,22,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
45,1511,Alpine Explorer Tent,Camping,2026-05-08,Weekly,5,66.49,1.5,Stable,22,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
46,1511,Alpine Explorer Tent,Camping,2026-05-15,Weekly,5,61.4,1.5,Stable,22,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
47,1511,Alpine Explorer Tent,Camping,2026-05-22,Weekly,5,69.86,1.5,Stable,22,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
48,1511,Alpine Explorer Tent,Camping,2026-06-01,Monthly,23,65.13,1.01,Stable,22,1.02,1.04,Recent Sales Trend Analysis + Seasonal,30,,,system,2026-03-16 11:10:41
49,1511,Alpine Explorer Tent,Camping,2026-07-01,Monthly,23,65.13,1.01,Stable,22,1.02,1.061,Recent Sales Trend Analysis + Seasonal,30,,,system,2026-03-16 11:10:41
50,1522,SummitClimber Backpack,Camping,2026-05-01,Monthly,36,66.87,1.02,Stable,35,1.02,1.02,Recent Sales Trend Analysis + Seasonal,30,,,system,2026-03-16 11:10:41
51,1522,SummitClimber Backpack,Camping,2026-05-01,Weekly,8,66.67,1.5,Stable,35,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
52,1522,SummitClimber Backpack,Camping,2026-05-08,Weekly,8,70.7,1.5,Stable,35,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
53,1522,SummitClimber Backpack,Camping,2026-05-15,Weekly,8,70.22,1.5,Stable,35,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
54,1522,SummitClimber Backpack,Camping,2026-05-22,Weekly,8,65.89,1.5,Stable,35,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
55,1522,SummitClimber Backpack,Camping,2026-06-01,Monthly,36,66.87,1.01,Stable,35,1.02,1.04,Recent Sales Trend Analysis + Seasonal,30,,,system,2026-03-16 11:10:41
56,1522,SummitClimber Backpack,Camping,2026-07-01,Monthly,37,66.87,1.01,Stable,35,1.02,1.061,Recent Sales Trend Analysis + Seasonal,30,,,system,2026-03-16 11:10:41
57,1532,TrailBlaze Hiking Pants,Camping,2026-05-01,Monthly,16,65.98,1.02,Stable,16,1.02,1.02,Recent Sales Trend Analysis + Seasonal,30,,,system,2026-03-16 11:10:41
58,1532,TrailBlaze Hiking Pants,Camping,2026-05-01,Weekly,3,66.23,1.5,Stable,16,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
59,1532,TrailBlaze Hiking Pants,Camping,2026-05-08,Weekly,3,67.16,1.5,Stable,16,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
60,1532,TrailBlaze Hiking Pants,Camping,2026-05-15,Weekly,3,64.24,1.5,Stable,16,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
61,1532,TrailBlaze Hiking Pants,Camping,2026-05-22,Weekly,3,62.39,1.5,Stable,16,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
62,1532,TrailBlaze Hiking Pants,Camping,2026-06-01,Monthly,16,65.98,1.01,Stable,16,1.02,1.04,Recent Sales Trend Analysis + Seasonal,30,,,system,2026-03-16 11:10:41
63,1532,TrailBlaze Hiking Pants,Camping,2026-07-01,Monthly,17,65.98,1.01,Stable,16,1.02,1.061,Recent Sales Trend Analysis + Seasonal,30,,,system,2026-03-16 11:10:41
64,1542,TrailWalker Hiking Shoes,Camping,2026-05-01,Monthly,44,77.97,1.02,Stable,43,1.02,1.02,Recent Sales Trend Analysis + Seasonal,30,,,system,2026-03-16 11:10:41
65,1542,TrailWalker Hiking Shoes,Camping,2026-05-01,Weekly,10,76.84,1.5,Stable,43,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
66,1542,TrailWalker Hiking Shoes,Camping,2026-05-08,Weekly,10,80.45,1.5,Stable,43,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
67,1542,TrailWalker Hiking Shoes,Camping,2026-05-15,Weekly,10,78.68,1.5,Stable,43,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
68,1542,TrailWalker Hiking Shoes,Camping,2026-05-22,Weekly,10,77.22,1.5,Stable,43,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
69,1542,TrailWalker Hiking Shoes,Camping,2026-06-01,Monthly,45,77.97,1.01,Stable,43,1.02,1.04,Recent Sales Trend Analysis + Seasonal,30,,,system,2026-03-16 11:10:41
70,1542,TrailWalker Hiking Shoes,Camping,2026-07-01,Monthly,46,77.97,1.01,Stable,43,1.02,1.061,Recent Sales Trend Analysis + Seasonal,30,,,system,2026-03-16 11:10:41
71,1552,TrekMaster Camping Chair,Camping,2026-05-01,Monthly,41,77.94,1.02,Stable,40,1.02,1.02,Recent Sales Trend Analysis + Seasonal,30,,,system,2026-03-16 11:10:41
72,1552,TrekMaster Camping Chair,Camping,2026-05-01,Weekly,9,81.03,1.5,Stable,40,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
73,1552,TrekMaster Camping Chair,Camping,2026-05-08,Weekly,9,75.63,1.5,Stable,40,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
74,1552,TrekMaster Camping Chair,Camping,2026-05-15,Weekly,9,74.68,1.5,Stable,40,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
75,1552,TrekMaster Camping Chair,Camping,2026-05-22,Weekly,9,73.45,1.5,Stable,40,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
76,1552,TrekMaster Camping Chair,Camping,2026-06-01,Monthly,42,77.94,1.01,Stable,40,1.02,1.04,Recent Sales Trend Analysis + Seasonal,30,,,system,2026-03-16 11:10:41
77,1552,TrekMaster Camping Chair,Camping,2026-07-01,Monthly,42,77.94,1.01,Stable,40,1.02,1.061,Recent Sales Trend Analysis + Seasonal,30,,,system,2026-03-16 11:10:41
78,1562,PowerBurner Camping Stove,Camping,2026-05-01,Monthly,26,79.84,1.02,Stable,25,1.02,1.02,Recent Sales Trend Analysis + Seasonal,30,,,system,2026-03-16 11:10:41
79,1562,PowerBurner Camping Stove,Camping,2026-05-01,Weekly,6,75.18,1.5,Stable,25,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
80,1562,PowerBurner Camping Stove,Camping,2026-05-08,Weekly,6,76.5,1.5,Stable,25,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
81,1562,PowerBurner Camping Stove,Camping,2026-05-15,Weekly,6,83.96,1.5,Stable,25,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
82,1562,PowerBurner Camping Stove,Camping,2026-05-22,Weekly,6,76.44,1.5,Stable,25,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
83,1562,PowerBurner Camping Stove,Camping,2026-06-01,Monthly,26,79.84,1.01,Stable,25,1.02,1.04,Recent Sales Trend Analysis + Seasonal,30,,,system,2026-03-16 11:10:41
84,1562,PowerBurner Camping Stove,Camping,2026-07-01,Monthly,26,79.84,1.01,Stable,25,1.02,1.061,Recent Sales Trend Analysis + Seasonal,30,,,system,2026-03-16 11:10:41
85,1572,MountainDream Sleeping Bag,Camping,2026-05-01,Monthly,30,77.09,1.02,Stable,29,1.02,1.02,Recent Sales Trend Analysis + Seasonal,30,,,system,2026-03-16 11:10:41
86,1572,MountainDream Sleeping Bag,Camping,2026-05-01,Weekly,6,81.74,1.5,Stable,29,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
87,1572,MountainDream Sleeping Bag,Camping,2026-05-08,Weekly,6,76.65,1.5,Stable,29,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
88,1572,MountainDream Sleeping Bag,Camping,2026-05-15,Weekly,6,76.2,1.5,Stable,29,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
89,1572,MountainDream Sleeping Bag,Camping,2026-05-22,Weekly,6,73.73,1.5,Stable,29,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
90,1572,MountainDream Sleeping Bag,Camping,2026-06-01,Monthly,30,77.09,1.01,Stable,29,1.02,1.04,Recent Sales Trend Analysis + Seasonal,30,,,system,2026-03-16 11:10:41
91,1572,MountainDream Sleeping Bag,Camping,2026-07-01,Monthly,31,77.09,1.01,Stable,29,1.02,1.061,Recent Sales Trend Analysis + Seasonal,30,,,system,2026-03-16 11:10:41
92,1512,SkyView 2-Person Tent,Camping,2026-05-01,Monthly,15,70.84,1.02,Stable,15,1.02,1.02,Recent Sales Trend Analysis + Seasonal,30,,,system,2026-03-16 11:10:41
93,1512,SkyView 2-Person Tent,Camping,2026-05-01,Weekly,3,72.59,1.5,Stable,15,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
94,1512,SkyView 2-Person Tent,Camping,2026-05-08,Weekly,3,74.9,1.5,Stable,15,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
95,1512,SkyView 2-Person Tent,Camping,2026-05-15,Weekly,3,69.0,1.5,Stable,15,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
96,1512,SkyView 2-Person Tent,Camping,2026-05-22,Weekly,3,70.6,1.5,Stable,15,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
97,1512,SkyView 2-Person Tent,Camping,2026-06-01,Monthly,15,70.84,1.01,Stable,15,1.02,1.04,Recent Sales Trend Analysis + Seasonal,30,,,system,2026-03-16 11:10:41
98,1512,SkyView 2-Person Tent,Camping,2026-07-01,Monthly,16,70.84,1.01,Stable,15,1.02,1.061,Recent Sales Trend Analysis + Seasonal,30,,,system,2026-03-16 11:10:41
99,1523,TrailLite Daypack,Camping,2026-05-01,Monthly,23,77.37,1.02,Stable,22,1.02,1.02,Recent Sales Trend Analysis + Seasonal,30,,,system,2026-03-16 11:10:41
100,1523,TrailLite Daypack,Camping,2026-05-01,Weekly,5,78.04,1.5,Stable,22,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
101,1523,TrailLite Daypack,Camping,2026-05-08,Weekly,5,75.36,1.5,Stable,22,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
102,1523,TrailLite Daypack,Camping,2026-05-15,Weekly,5,80.8,1.5,Stable,22,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
103,1523,TrailLite Daypack,Camping,2026-05-22,Weekly,5,80.5,1.5,Stable,22,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
104,1523,TrailLite Daypack,Camping,2026-06-01,Monthly,23,77.37,1.01,Stable,22,1.02,1.04,Recent Sales Trend Analysis + Seasonal,30,,,system,2026-03-16 11:10:41
105,1523,TrailLite Daypack,Camping,2026-07-01,Monthly,23,77.37,1.01,Stable,22,1.02,1.061,Recent Sales Trend Analysis + Seasonal,30,,,system,2026-03-16 11:10:41
106,1533,RainGuard Hiking Jacket,Camping,2026-05-01,Monthly,12,63.75,1.02,Stable,12,1.02,1.02,Recent Sales Trend Analysis + Seasonal,30,,,system,2026-03-16 11:10:41
107,1533,RainGuard Hiking Jacket,Camping,2026-05-01,Weekly,2,65.89,1.5,Stable,12,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
108,1533,RainGuard Hiking Jacket,Camping,2026-05-08,Weekly,2,68.44,1.5,Stable,12,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
109,1533,RainGuard Hiking Jacket,Camping,2026-05-15,Weekly,2,61.26,1.5,Stable,12,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
110,1533,RainGuard Hiking Jacket,Camping,2026-05-22,Weekly,2,65.03,1.5,Stable,12,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
111,1533,RainGuard Hiking Jacket,Camping,2026-06-01,Monthly,12,63.75,1.01,Stable,12,1.02,1.04,Recent Sales Trend Analysis + Seasonal,30,,,system,2026-03-16 11:10:41
112,1533,RainGuard Hiking Jacket,Camping,2026-07-01,Monthly,12,63.75,1.01,Stable,12,1.02,1.061,Recent Sales Trend Analysis + Seasonal,30,,,system,2026-03-16 11:10:41
113,1543,TrekStar Hiking Sandals,Camping,2026-05-01,Monthly,42,71.86,1.02,Stable,41,1.02,1.02,Recent Sales Trend Analysis + Seasonal,30,,,system,2026-03-16 11:10:41
114,1543,TrekStar Hiking Sandals,Camping,2026-05-01,Weekly,9,73.84,1.5,Stable,41,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
115,1543,TrekStar Hiking Sandals,Camping,2026-05-08,Weekly,9,67.43,1.5,Stable,41,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
116,1543,TrekStar Hiking Sandals,Camping,2026-05-15,Weekly,9,71.84,1.5,Stable,41,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
117,1543,TrekStar Hiking Sandals,Camping,2026-05-22,Weekly,9,67.41,1.5,Stable,41,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
118,1543,TrekStar Hiking Sandals,Camping,2026-06-01,Monthly,43,71.86,1.01,Stable,41,1.02,1.04,Recent Sales Trend Analysis + Seasonal,30,,,system,2026-03-16 11:10:41
119,1543,TrekStar Hiking Sandals,Camping,2026-07-01,Monthly,43,71.86,1.01,Stable,41,1.02,1.061,Recent Sales Trend Analysis + Seasonal,30,,,system,2026-03-16 11:10:41
120,1553,Adventure Dining Table,Camping,2026-05-01,Monthly,16,68.86,1.02,Stable,16,1.02,1.02,Recent Sales Trend Analysis + Seasonal,30,,,system,2026-03-16 11:10:41
121,1553,Adventure Dining Table,Camping,2026-05-01,Weekly,3,69.03,1.5,Stable,16,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
122,1553,Adventure Dining Table,Camping,2026-05-08,Weekly,3,65.27,1.5,Stable,16,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
123,1553,Adventure Dining Table,Camping,2026-05-15,Weekly,3,70.31,1.5,Stable,16,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
124,1553,Adventure Dining Table,Camping,2026-05-22,Weekly,3,67.59,1.5,Stable,16,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
125,1553,Adventure Dining Table,Camping,2026-06-01,Monthly,16,68.86,1.01,Stable,16,1.02,1.04,Recent Sales Trend Analysis + Seasonal,30,,,system,2026-03-16 11:10:41
126,1553,Adventure Dining Table,Camping,2026-07-01,Monthly,17,68.86,1.01,Stable,16,1.02,1.061,Recent Sales Trend Analysis + Seasonal,30,,,system,2026-03-16 11:10:41
127,1563,CompactCook Camping Stove,Camping,2026-05-01,Monthly,20,74.92,1.02,Stable,20,1.02,1.02,Recent Sales Trend Analysis + Seasonal,30,,,system,2026-03-16 11:10:41
128,1563,CompactCook Camping Stove,Camping,2026-05-01,Weekly,4,73.95,1.5,Stable,20,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
129,1563,CompactCook Camping Stove,Camping,2026-05-08,Weekly,4,76.63,1.5,Stable,20,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
130,1563,CompactCook Camping Stove,Camping,2026-05-15,Weekly,4,75.91,1.5,Stable,20,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
131,1563,CompactCook Camping Stove,Camping,2026-05-22,Weekly,4,78.12,1.5,Stable,20,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
132,1563,CompactCook Camping Stove,Camping,2026-06-01,Monthly,21,74.92,1.01,Stable,20,1.02,1.04,Recent Sales Trend Analysis + Seasonal,30,,,system,2026-03-16 11:10:41
133,1563,CompactCook Camping Stove,Camping,2026-07-01,Monthly,21,74.92,1.01,Stable,20,1.02,1.061,Recent Sales Trend Analysis + Seasonal,30,,,system,2026-03-16 11:10:41
134,1581,LED Headlamp - Rechargeable,Camping,2026-05-01,Monthly,17,76.17,1.02,Stable,17,1.02,1.02,Recent Sales Trend Analysis + Seasonal,30,,,system,2026-03-16 11:10:41
135,1581,LED Headlamp - Rechargeable,Camping,2026-05-01,Weekly,3,77.09,1.5,Stable,17,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
136,1581,LED Headlamp - Rechargeable,Camping,2026-05-08,Weekly,3,80.91,1.5,Stable,17,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
137,1581,LED Headlamp - Rechargeable,Camping,2026-05-15,Weekly,3,71.31,1.5,Stable,17,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
138,1581,LED Headlamp - Rechargeable,Camping,2026-05-22,Weekly,3,77.73,1.5,Stable,17,1.02,1.02,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-16 11:10:41
139,1581,LED Headlamp - Rechargeable,Camping,2026-06-01,Monthly,17,76.17,1.01,Stable,17,1.02,1.04,Recent Sales Trend Analysis + Seasonal,30,,,system,2026-03-16 11:10:41
140,1581,LED Headlamp - Rechargeable,Camping,2026-07-01,Monthly,18,76.17,1.01,Stable,17,1.02,1.061,Recent Sales Trend Analysis + Seasonal,30,,,system,2026-03-16 11:10:41
141,2011,Coffee Maker,Kitchen,2026-05-01,Monthly,28,63.15,1.0,Stable,28,1.02,1.02,Recent Sales Trend Analysis + Seasonal,30,,,system,2026-03-16 11:10:41
