TransactionID,ProductID,ProductName,ProductCategory,WarehouseLocation,TransactionType,TransactionDate,Quantity,UnitCost,TotalValue,ReferenceNumber,ReasonCode,StockBefore,StockAfter,ProcessedBy,Notes,CreatedBy,CreatedDate
34,1532,TrailBlaze Hiking Pants,Camping,Backup,Sale,2025-02-18 00:00:00,-11,62.58,-688.38,SO-81721,Customer Sale,114,103,warehouse1,Transaction processed for Backup location,system,2025-02-18 00:00:00
35,2051,Ice Cream Bowl,Kitchen,Main,Sale,2025-12-29 00:00:00,-16,15.86,-253.76,SO-91762,Customer Sale,93,77,warehouse1,Transaction processed for Main location,system,2025-12-29 00:00:00
36,2041,Serving Platter,Kitchen,Main,Receipt,2026-02-27 00:00:00,64,42.6,2726.47,PO-5536,Purchase Order Receipt,67,131,system,Transaction processed for Main location,system,2026-02-27 00:00:00
37,1522,SummitClimber Backpack,Camping,Main,Receipt,2025-10-10 00:00:00,38,173.05,6576.07,PO-1503,Purchase Order Receipt,72,110,system,Transaction processed for Main location,system,2025-10-10 00:00:00
38,3021,Nordic Classic XC Skis - 185cm,Ski,Main,Sale,2026-03-14 00:00:00,-36,233.42,-8403.12,SO-29551,Customer Sale,219,183,warehouse2,Transaction processed for Main location,system,2026-03-14 00:00:00
39,3011,Alpine Pro Racing Skis - 170cm,Ski,Main,Sale,2025-11-30 00:00:00,-32,988.38,-31628.16,SO-83822,Customer Sale,62,30,warehouse1,Transaction processed for Main location,system,2025-11-30 00:00:00
40,2081,Food Storage Set,Kitchen,Main,Sale,2025-04-01 00:00:00,-24,26.64,-639.36,SO-12607,Customer Sale,105,81,warehouse2,Transaction processed for Main location,system,2025-04-01 00:00:00
41,2011,Coffee Maker,Kitchen,Main,Return,2025-06-20 00:00:00,3,112.62,337.85,RET-39500,Customer Return,21,24,warehouse2,Transaction processed for Main location,system,2025-06-20 00:00:00
42,3092,All-Mountain Snowboard - 158cm,Ski,Backup,Sale,2025-12-26 00:00:00,-20,511.74,-10234.8,SO-87807,Customer Sale,51,31,warehouse2,Transaction processed for Backup location,system,2025-12-26 00:00:00
43,3072,Hand Warmers - 10 Pack,Ski,Backup,Receipt,2025-09-10 00:00:00,81,9.34,756.87,PO-6025,Purchase Order Receipt,36,117,warehouse2,Transaction processed for Backup location,system,2025-09-10 00:00:00
44,1531,Summit Breeze Jacket,Camping,Backup,Sale,2025-05-25 00:00:00,-43,118.88,-5111.84,SO-34265,Customer Sale,52,9,system,Transaction processed for Backup location,system,2025-05-25 00:00:00
45,2112,4-Slice Toaster,Kitchen,Main,Return,2025-06-24 00:00:00,5,55.67,278.36,RET-31778,Customer Return,42,47,warehouse2,Transaction processed for Main location,system,2025-06-24 00:00:00
46,3033,Women's Performance Ski Boots,Ski,Backup,Sale,2026-02-10 00:00:00,-28,436.47,-12221.16,SO-77454,Customer Sale,25,-3,system,Transaction processed for Backup location,system,2026-02-10 00:00:00
47,1522,SummitClimber Backpack,Camping,Main,Sale,2025-09-20 00:00:00,-3,172.08,-516.24,SO-57846,Customer Sale,9,6,warehouse2,Transaction processed for Main location,system,2025-09-20 00:00:00
48,3081,All-Temp Ski Wax Kit,Ski,Backup,Damage,2025-01-19 00:00:00,-7,51.76,-362.32,DMG-48,Warehouse Damage,64,57,warehouse2,Transaction processed for Backup location,system,2025-01-19 00:00:00
49,3033,Women's Performance Ski Boots,Ski,Main,Sale,2025-10-04 00:00:00,-37,436.47,-16149.39,SO-13761,Customer Sale,75,38,warehouse2,Transaction processed for Main location,system,2025-10-04 00:00:00
50,3033,Women's Performance Ski Boots,Ski,Backup,Receipt,2025-07-14 00:00:00,82,445.01,36491.18,PO-9638,Purchase Order Receipt,88,170,system,Transaction processed for Backup location,system,2025-07-14 00:00:00
51,2021,Chef Knife,Kitchen,Backup,Sale,2025-06-01 00:00:00,-24,54.49,-1307.76,SO-23999,Customer Sale,2,-22,warehouse2,Transaction processed for Backup location,system,2025-06-01 00:00:00
52,3031,Pro Flex Racing Ski Boots,Ski,Main,Sale,2026-02-18 00:00:00,-27,491.77,-13277.79,SO-86998,Customer Sale,159,132,system,Transaction processed for Main location,system,2026-02-18 00:00:00
53,2031,Coffee Mug,Kitchen,Main,Sale,2025-08-30 00:00:00,-36,20.63,-742.68,SO-53196,Customer Sale,103,67,warehouse2,Transaction processed for Main location,system,2025-08-30 00:00:00
54,1572,MountainDream Sleeping Bag,Camping,Main,Receipt,2025-06-17 00:00:00,52,214.03,11129.73,PO-9245,Purchase Order Receipt,58,110,system,Transaction processed for Main location,system,2025-06-17 00:00:00
55,1563,CompactCook Camping Stove,Camping,Main,Sale,2025-03-18 00:00:00,-16,63.08,-1009.28,SO-31807,Customer Sale,53,37,warehouse2,Transaction processed for Main location,system,2025-03-18 00:00:00
56,2031,Coffee Mug,Kitchen,Main,Transfer,2026-04-09 00:00:00,-42,20.63,-866.46,TRF-6774,Warehouse Transfer,187,145,warehouse1,Transaction processed for Main location,system,2026-04-09 00:00:00
57,3061,Professional Ski Helmet,Ski,Main,Return,2025-07-31 00:00:00,4,101.07,404.29,RET-45637,Customer Return,65,69,system,Transaction processed for Main location,system,2025-07-31 00:00:00
58,1532,TrailBlaze Hiking Pants,Camping,Main,Sale,2025-12-21 00:00:00,-18,62.58,-1126.44,SO-46746,Customer Sale,117,99,warehouse2,Transaction processed for Main location,system,2025-12-21 00:00:00
59,1571,CozyNights Sleeping Bag,Camping,Main,Sale,2026-02-09 00:00:00,-50,98.63,-4931.5,SO-58827,Customer Sale,73,23,warehouse1,Transaction processed for Main location,system,2026-02-09 00:00:00
60,1522,SummitClimber Backpack,Camping,Main,Receipt,2026-03-09 00:00:00,16,171.02,2736.35,PO-4158,Purchase Order Receipt,11,27,warehouse1,Transaction processed for Main location,system,2026-03-09 00:00:00
61,2121,Bamboo Cutting Board Set,Kitchen,Main,Damage,2025-11-11 00:00:00,-7,31.46,-220.22,DMG-61,Quality Issue,32,25,warehouse2,Transaction processed for Main location,system,2025-11-11 00:00:00
62,1561,EcoFire Camping Stove,Camping,Backup,Transfer,2025-06-26 00:00:00,-12,87.74,-1052.88,TRF-6660,Warehouse Transfer,128,116,system,Transaction processed for Backup location,system,2025-06-26 00:00:00
63,3033,Women's Performance Ski Boots,Ski,Backup,Sale,2026-01-13 00:00:00,-27,436.47,-11784.69,SO-82895,Customer Sale,38,11,system,Transaction processed for Backup location,system,2026-01-13 00:00:00
64,3081,All-Temp Ski Wax Kit,Ski,Main,Sale,2025-10-07 00:00:00,-39,51.76,-2018.64,SO-21412,Customer Sale,77,38,warehouse1,Transaction processed for Main location,system,2025-10-07 00:00:00
65,1572,MountainDream Sleeping Bag,Camping,Main,Sale,2025-06-18 00:00:00,-3,204.3,-612.9,SO-69994,Customer Sale,11,8,warehouse1,Transaction processed for Main location,system,2025-06-18 00:00:00
66,3081,All-Temp Ski Wax Kit,Ski,Backup,Transfer,2025-11-20 00:00:00,-45,51.76,-2329.2,TRF-4800,Warehouse Transfer,105,60,system,Transaction processed for Backup location,system,2025-11-20 00:00:00
67,3052,Thermal Base Layer Set - Women's,Ski,Main,Return,2025-08-09 00:00:00,2,75.49,150.98,RET-76768,Customer Return,53,55,warehouse1,Transaction processed for Main location,system,2025-08-09 00:00:00
68,2112,4-Slice Toaster,Kitchen,Main,Adjustment,2026-03-20 00:00:00,-1,69.59,-69.59,ADJ-68,Cycle Count,14,13,system,Transaction processed for Main location,system,2026-03-20 00:00:00
69,2041,Serving Platter,Kitchen,Backup,Sale,2026-02-05 00:00:00,-45,43.5,-1957.5,SO-41363,Customer Sale,64,19,system,Transaction processed for Backup location,system,2026-02-05 00:00:00
70,3082,Edge Tuning Tool Set,Ski,Main,Damage,2025-07-11 00:00:00,-9,95.08,-855.72,DMG-70,Quality Issue,97,88,warehouse1,Transaction processed for Main location,system,2025-07-11 00:00:00
71,1571,CozyNights Sleeping Bag,Camping,Main,Adjustment,2025-01-26 00:00:00,-20,98.63,-1972.6,ADJ-71,Physical Count,66,46,warehouse1,Transaction processed for Main location,system,2025-01-26 00:00:00
72,1553,Adventure Dining Table,Camping,Main,Sale,2026-03-24 00:00:00,-14,117.62,-1646.68,SO-37942,Customer Sale,112,98,system,Transaction processed for Main location,system,2026-03-24 00:00:00
73,1512,SkyView 2-Person Tent,Camping,Main,Sale,2025-04-27 00:00:00,-14,237.35,-3322.9,SO-82463,Customer Sale,181,167,warehouse1,Transaction processed for Main location,system,2025-04-27 00:00:00
74,2101,Measuring Cup Set,Kitchen,Main,Receipt,2025-09-23 00:00:00,138,14.98,2067.48,PO-9748,Purchase Order Receipt,34,172,warehouse2,Transaction processed for Main location,system,2025-09-23 00:00:00
75,1543,TrekStar Hiking Sandals,Camping,Regional,Sale,2026-02-08 00:00:00,-20,54.12,-1082.4,SO-36154,Customer Sale,208,188,warehouse1,Transaction processed for Regional location,system,2026-02-08 00:00:00
76,3091,Freestyle Snowboard - 155cm,Ski,Main,Sale,2025-01-07 00:00:00,-18,420.23,-7564.14,SO-21591,Customer Sale,128,110,system,Transaction processed for Main location,system,2025-01-07 00:00:00
77,1572,MountainDream Sleeping Bag,Camping,Main,Adjustment,2025-11-08 00:00:00,-18,204.3,-3677.4,ADJ-77,System Correction,19,1,warehouse2,Transaction processed for Main location,system,2025-11-08 00:00:00
78,3042,Aluminum All-Mountain Poles - 115cm,Ski,Main,Damage,2026-03-17 00:00:00,-5,63.97,-319.85,DMG-78,Warehouse Damage,148,143,warehouse2,Transaction processed for Main location,system,2026-03-17 00:00:00
79,2111,High-Speed Blender,Kitchen,Backup,Sale,2025-06-15 00:00:00,-36,128.4,-4622.4,SO-40211,Customer Sale,41,5,system,Transaction processed for Backup location,system,2025-06-15 00:00:00
80,2071,Baking Pan,Kitchen,Backup,Sale,2026-03-13 00:00:00,-4,21.57,-86.28,SO-79048,Customer Sale,77,73,warehouse2,Transaction processed for Backup location,system,2026-03-13 00:00:00
81,1553,Adventure Dining Table,Camping,Main,Receipt,2026-01-27 00:00:00,139,114.18,15871.12,PO-3226,Purchase Order Receipt,84,223,warehouse1,Transaction processed for Main location,system,2026-01-27 00:00:00
82,1511,Alpine Explorer Tent,Camping,Regional,Sale,2025-11-28 00:00:00,-22,333.4,-7334.8,SO-38238,Customer Sale,98,76,warehouse1,Transaction processed for Regional location,system,2025-11-28 00:00:00
83,3052,Thermal Base Layer Set - Women's,Ski,Backup,Receipt,2025-01-05 00:00:00,84,97.76,8211.81,PO-3389,Purchase Order Receipt,43,127,system,Transaction processed for Backup location,system,2025-01-05 00:00:00
84,3091,Freestyle Snowboard - 155cm,Ski,Main,Adjustment,2025-07-30 00:00:00,-2,420.23,-840.46,ADJ-84,Cycle Count,245,243,warehouse2,Transaction processed for Main location,system,2025-07-30 00:00:00
85,1531,Summit Breeze Jacket,Camping,Backup,Receipt,2025-11-21 00:00:00,179,116.32,20821.47,PO-6401,Purchase Order Receipt,76,255,warehouse2,Transaction processed for Backup location,system,2025-11-21 00:00:00
86,1541,TrekReady Hiking Boots,Camping,Main,Sale,2025-08-30 00:00:00,-28,137.96,-3862.88,SO-68721,Customer Sale,60,32,warehouse1,Transaction processed for Main location,system,2025-08-30 00:00:00
87,3081,All-Temp Ski Wax Kit,Ski,Backup,Sale,2025-10-15 00:00:00,-27,51.76,-1397.52,SO-98696,Customer Sale,42,15,warehouse1,Transaction processed for Backup location,system,2025-10-15 00:00:00
88,1531,Summit Breeze Jacket,Camping,Backup,Receipt,2026-04-10 00:00:00,68,114.24,7768.3,PO-6673,Purchase Order Receipt,150,218,system,Transaction processed for Backup location,system,2026-04-10 00:00:00
89,2061,Mixing Bowl,Kitchen,Main,Receipt,2025-06-13 00:00:00,200,31.65,6330.79,PO-1464,Purchase Order Receipt,63,263,warehouse2,Transaction processed for Main location,system,2025-06-13 00:00:00
90,1523,TrailLite Daypack,Camping,Main,Sale,2025-08-20 00:00:00,-16,52.82,-845.12,SO-34945,Customer Sale,64,48,warehouse1,Transaction processed for Main location,system,2025-08-20 00:00:00
91,3062,Anti-Fog Ski Goggles,Ski,Main,Receipt,2025-04-16 00:00:00,155,85.88,13310.93,PO-7788,Purchase Order Receipt,97,252,system,Transaction processed for Main location,system,2025-04-16 00:00:00
92,3103,Snowboard Bindings - Pro,Ski,Backup,Return,2025-05-25 00:00:00,2,157.99,315.98,RET-24914,Customer Return,12,14,system,Transaction processed for Backup location,system,2025-05-25 00:00:00
93,3104,Ski Tuning Bench - Portable,Ski,Main,Transfer,2025-04-11 00:00:00,-41,130.12,-5334.92,TRF-9260,Warehouse Transfer,138,97,warehouse1,Transaction processed for Main location,system,2025-04-11 00:00:00
94,3021,Nordic Classic XC Skis - 185cm,Ski,Main,Sale,2026-03-24 00:00:00,-5,233.42,-1167.1,SO-73632,Customer Sale,245,240,warehouse1,Transaction processed for Main location,system,2026-03-24 00:00:00
95,3103,Snowboard Bindings - Pro,Ski,Main,Transfer,2025-06-15 00:00:00,-16,197.49,-3159.84,TRF-9025,Warehouse Transfer,42,26,system,Transaction processed for Main location,system,2025-06-15 00:00:00
96,1532,TrailBlaze Hiking Pants,Camping,Main,Receipt,2025-01-27 00:00:00,23,60.72,1396.52,PO-1456,Purchase Order Receipt,51,74,warehouse1,Transaction processed for Main location,system,2025-01-27 00:00:00
97,3052,Thermal Base Layer Set - Women's,Ski,Main,Sale,2025-06-19 00:00:00,-39,94.36,-3680.04,SO-10685,Customer Sale,28,-11,warehouse1,Transaction processed for Main location,system,2025-06-19 00:00:00
98,3101,Winter Boots - Insulated,Ski,Backup,Transfer,2025-11-26 00:00:00,-24,119.61,-2870.64,TRF-4302,Warehouse Transfer,1,-23,warehouse2,Transaction processed for Backup location,system,2025-11-26 00:00:00
99,1523,TrailLite Daypack,Camping,Main,Sale,2025-11-09 00:00:00,-34,52.82,-1795.88,SO-79827,Customer Sale,109,75,system,Transaction processed for Main location,system,2025-11-09 00:00:00
100,2021,Chef Knife,Kitchen,Backup,Adjustment,2026-01-19 00:00:00,0,54.49,0.0,ADJ-100,Cycle Count,92,92,warehouse2,Transaction processed for Backup location,system,2026-01-19 00:00:00
101,3042,Aluminum All-Mountain Poles - 115cm,Ski,Backup,Sale,2025-03-03 00:00:00,-40,63.97,-2558.8,SO-37492,Customer Sale,28,-12,warehouse2,Transaction processed for Backup location,system,2025-03-03 00:00:00
102,1552,TrekMaster Camping Chair,Camping,Regional,Sale,2025-11-13 00:00:00,-24,53.14,-1275.36,SO-33996,Customer Sale,23,-1,warehouse2,Transaction processed for Regional location,system,2025-11-13 00:00:00
103,2051,Ice Cream Bowl,Kitchen,Main,Receipt,2025-04-13 00:00:00,129,15.25,1966.85,PO-1418,Purchase Order Receipt,33,162,warehouse2,Transaction processed for Main location,system,2025-04-13 00:00:00
104,1532,TrailBlaze Hiking Pants,Camping,Main,Sale,2025-07-13 00:00:00,-36,62.58,-2252.88,SO-75381,Customer Sale,163,127,warehouse2,Transaction processed for Main location,system,2025-07-13 00:00:00
105,1522,SummitClimber Backpack,Camping,Main,Damage,2026-02-14 00:00:00,-10,172.08,-1720.8,DMG-105,Shipping Damage,116,106,warehouse1,Transaction processed for Main location,system,2026-02-14 00:00:00
106,1523,TrailLite Daypack,Camping,Backup,Adjustment,2025-08-26 00:00:00,-12,52.82,-633.84,ADJ-106,Cycle Count,17,5,system,Transaction processed for Backup location,system,2025-08-26 00:00:00
107,1553,Adventure Dining Table,Camping,Main,Sale,2025-01-28 00:00:00,-5,117.62,-588.1,SO-80835,Customer Sale,179,174,warehouse2,Transaction processed for Main location,system,2025-01-28 00:00:00
108,2091,Spatula,Kitchen,Main,Sale,2025-08-22 00:00:00,-28,8.83,-247.24,SO-38215,Customer Sale,76,48,warehouse2,Transaction processed for Main location,system,2025-08-22 00:00:00
109,1521,Adventurer Pro Backpack,Camping,Main,Sale,2025-06-09 00:00:00,-24,117.87,-2828.88,SO-63064,Customer Sale,75,51,warehouse1,Transaction processed for Main location,system,2025-06-09 00:00:00
110,1562,PowerBurner Camping Stove,Camping,Main,Sale,2025-08-30 00:00:00,-40,146.42,-5856.8,SO-75228,Customer Sale,213,173,warehouse2,Transaction processed for Main location,system,2025-08-30 00:00:00
111,3091,Freestyle Snowboard - 155cm,Ski,Main,Sale,2026-03-02 00:00:00,-46,420.23,-19330.58,SO-40736,Customer Sale,109,63,system,Transaction processed for Main location,system,2026-03-02 00:00:00
112,1532,TrailBlaze Hiking Pants,Camping,Backup,Damage,2025-07-05 00:00:00,-4,62.58,-250.32,DMG-112,Warehouse Damage,78,74,warehouse2,Transaction processed for Backup location,system,2025-07-05 00:00:00
113,3072,Hand Warmers - 10 Pack,Ski,Backup,Transfer,2026-02-25 00:00:00,-14,9.22,-129.08,TRF-2867,Warehouse Transfer,61,47,warehouse1,Transaction processed for Backup location,system,2026-02-25 00:00:00
114,3103,Snowboard Bindings - Pro,Ski,Main,Sale,2025-01-14 00:00:00,-40,197.49,-7899.6,SO-27758,Customer Sale,89,49,system,Transaction processed for Main location,system,2025-01-14 00:00:00
115,2022,Fork Set,Kitchen,Backup,Receipt,2025-01-29 00:00:00,22,26.7,587.41,PO-3842,Purchase Order Receipt,8,30,warehouse1,Transaction processed for Backup location,system,2025-01-29 00:00:00
116,3021,Nordic Classic XC Skis - 185cm,Ski,Main,Adjustment,2025-12-03 00:00:00,-8,233.42,-1867.36,ADJ-116,Physical Count,95,87,system,Transaction processed for Main location,system,2025-12-03 00:00:00
117,3042,Aluminum All-Mountain Poles - 115cm,Ski,Backup,Sale,2025-12-26 00:00:00,-12,63.97,-767.64,SO-54095,Customer Sale,24,12,warehouse1,Transaction processed for Backup location,system,2025-12-26 00:00:00
118,1522,SummitClimber Backpack,Camping,Main,Transfer,2025-01-12 00:00:00,-6,172.08,-1032.48,TRF-3115,Warehouse Transfer,11,5,warehouse1,Transaction processed for Main location,system,2025-01-12 00:00:00
119,3081,All-Temp Ski Wax Kit,Ski,Main,Transfer,2026-03-15 00:00:00,-33,51.76,-1708.08,TRF-1075,Warehouse Transfer,84,51,system,Transaction processed for Main location,system,2026-03-15 00:00:00
120,3033,Women's Performance Ski Boots,Ski,Main,Receipt,2026-02-21 00:00:00,41,447.23,18336.61,PO-1907,Purchase Order Receipt,50,91,warehouse1,Transaction processed for Main location,system,2026-02-21 00:00:00
121,2012,Espresso Machine,Kitchen,Main,Transfer,2025-08-11 00:00:00,-50,286.54,-14327.0,TRF-4657,Warehouse Transfer,182,132,system,Transaction processed for Main location,system,2025-08-11 00:00:00
122,1561,EcoFire Camping Stove,Camping,Backup,Receipt,2025-04-23 00:00:00,176,83.81,14750.23,PO-8763,Purchase Order Receipt,44,220,warehouse2,Transaction processed for Backup location,system,2025-04-23 00:00:00
123,2051,Ice Cream Bowl,Kitchen,Backup,Sale,2026-02-25 00:00:00,-21,15.86,-333.06,SO-32059,Customer Sale,80,59,system,Transaction processed for Backup location,system,2026-02-25 00:00:00
124,3011,Alpine Pro Racing Skis - 170cm,Ski,Main,Receipt,2025-09-29 00:00:00,135,999.66,134954.52,PO-2739,Purchase Order Receipt,101,236,warehouse1,Transaction processed for Main location,system,2025-09-29 00:00:00
125,3104,Ski Tuning Bench - Portable,Ski,Main,Return,2025-11-10 00:00:00,2,104.1,208.19,RET-99582,Customer Return,202,204,warehouse1,Transaction processed for Main location,system,2025-11-10 00:00:00
126,3104,Ski Tuning Bench - Portable,Ski,Main,Sale,2025-08-25 00:00:00,-30,130.12,-3903.6,SO-80898,Customer Sale,87,57,system,Transaction processed for Main location,system,2025-08-25 00:00:00
127,2031,Coffee Mug,Kitchen,Main,Receipt,2025-05-19 00:00:00,62,21.14,1310.43,PO-9764,Purchase Order Receipt,162,224,warehouse1,Transaction processed for Main location,system,2025-05-19 00:00:00
128,2022,Fork Set,Kitchen,Backup,Receipt,2025-01-20 00:00:00,131,26.73,3501.52,PO-4351,Purchase Order Receipt,20,151,system,Transaction processed for Backup location,system,2025-01-20 00:00:00
129,1541,TrekReady Hiking Boots,Camping,Main,Adjustment,2025-09-26 00:00:00,16,137.96,2207.36,ADJ-129,Physical Count,87,103,system,Transaction processed for Main location,system,2025-09-26 00:00:00
130,3101,Winter Boots - Insulated,Ski,Backup,Damage,2025-10-07 00:00:00,-5,119.61,-598.05,DMG-130,Shipping Damage,95,90,system,Transaction processed for Backup location,system,2025-10-07 00:00:00
131,3101,Winter Boots - Insulated,Ski,Main,Sale,2025-11-01 00:00:00,-43,119.61,-5143.23,SO-70209,Customer Sale,20,-23,warehouse2,Transaction processed for Main location,system,2025-11-01 00:00:00
