InventoryID,ProductID,ProductName,ProductCategory,WarehouseLocation,CurrentStock,ReservedStock,AvailableStock,SafetyStockLevel,ReorderPoint,MaxStockLevel,LastUpdated,AverageCost,Status,CreatedBy,CreatedDate
31,2021,Chef Knife,Kitchen,Main,44,10,34,18,34,115,2026-04-29 12:00:00,64.1,Active,system,2025-11-07 00:00:00
32,2022,Fork Set,Kitchen,Main,128,24,104,36,67,120,2026-04-28 23:00:00,32.43,Excess,system,2025-10-11 00:00:00
33,2022,Fork Set,Kitchen,Backup,41,0,41,36,67,120,2026-04-28 23:00:00,32.43,Active,system,2025-10-11 00:00:00
34,2031,Coffee Mug,Kitchen,Main,44,5,39,22,28,151,2026-04-28 11:00:00,23.14,Active,system,2025-11-11 00:00:00
35,2041,Serving Platter,Kitchen,Main,28,6,22,10,15,71,2026-04-29 11:00:00,44.77,Active,system,2025-12-08 00:00:00
36,2051,Ice Cream Bowl,Kitchen,Regional,28,6,22,17,31,66,2026-04-29 13:00:00,15.93,Active,system,2026-01-20 00:00:00
37,2061,Mixing Bowl,Kitchen,Backup,14,3,11,27,50,146,2026-04-28 14:00:00,28.19,LowStock,system,2026-02-21 00:00:00
38,2071,Baking Pan,Kitchen,Main,80,9,71,15,22,84,2026-04-29 03:00:00,22.2,Active,system,2025-12-27 00:00:00
39,2071,Baking Pan,Kitchen,Backup,22,0,22,15,22,84,2026-04-29 03:00:00,22.2,Active,system,2025-12-27 00:00:00
40,2081,Food Storage Set,Kitchen,Main,40,9,31,45,66,241,2026-04-29 02:00:00,25.51,LowStock,system,2025-12-03 00:00:00
41,2091,Spatula,Kitchen,Main,85,9,76,27,39,174,2026-04-29 12:00:00,8.1,Active,system,2025-11-20 00:00:00
42,2101,Measuring Cup Set,Kitchen,Main,14,1,13,7,11,27,2026-04-28 00:00:00,13.31,Active,system,2025-11-07 00:00:00
43,2111,High-Speed Blender,Kitchen,Main,37,8,29,24,39,166,2026-04-28 18:00:00,140.42,Active,system,2025-11-14 00:00:00
44,2112,4-Slice Toaster,Kitchen,Main,138,28,110,32,55,165,2026-04-28 19:00:00,69.62,Active,system,2026-02-22 00:00:00
45,2121,Bamboo Cutting Board Set,Kitchen,Backup,46,5,41,17,20,100,2026-04-29 14:00:00,30.11,Active,system,2025-12-21 00:00:00
46,3011,Alpine Pro Racing Skis - 170cm,Ski,Backup,8,1,7,8,14,74,2026-04-29 07:00:00,1017.98,LowStock,system,2026-03-25 00:00:00
47,3012,Mountain Master All-Terrain Skis - 165cm,Ski,Regional,4,1,3,8,13,34,2026-04-29 07:00:00,653.67,LowStock,system,2026-02-03 00:00:00
48,3013,Beginner's Choice Alpine Skis - 160cm,Ski,Backup,5,0,5,5,8,37,2026-04-28 09:00:00,309.36,LowStock,system,2026-01-12 00:00:00
49,3021,Nordic Classic XC Skis - 185cm,Ski,Main,111,22,89,32,49,210,2026-04-29 13:00:00,255.72,Active,system,2025-10-17 00:00:00
50,3022,Backcountry Explorer XC Skis - 190cm,Ski,Main,12,1,11,5,8,33,2026-04-29 15:00:00,413.79,Active,system,2025-11-06 00:00:00
51,3031,Pro Flex Racing Ski Boots,Ski,Main,80,18,62,19,36,85,2026-04-29 04:00:00,435.5,Active,system,2025-12-28 00:00:00
52,3031,Pro Flex Racing Ski Boots,Ski,Backup,26,0,26,19,36,85,2026-04-29 04:00:00,435.5,Active,system,2025-12-28 00:00:00
53,3032,Comfort Fit Recreational Boots,Ski,Main,103,19,84,12,23,115,2026-04-29 15:00:00,306.4,Active,system,2026-03-07 00:00:00
54,3033,Women's Performance Ski Boots,Ski,Main,152,18,134,31,46,164,2026-04-29 07:00:00,357.49,Active,system,2025-10-20 00:00:00
55,3041,Carbon Fiber Racing Poles - 120cm,Ski,Backup,35,5,30,5,7,50,2026-04-28 10:00:00,111.19,Active,system,2026-01-10 00:00:00
56,3042,Aluminum All-Mountain Poles - 115cm,Ski,Main,24,3,21,35,44,139,2026-04-28 14:00:00,69.57,LowStock,system,2026-01-14 00:00:00
57,3051,Insulated Ski Jacket - Men's,Ski,Main,97,26,71,15,22,91,2026-04-28 08:00:00,229.39,Excess,system,2025-12-10 00:00:00
58,3052,Thermal Base Layer Set - Women's,Ski,Main,11,1,10,21,26,78,2026-04-29 02:00:00,107.61,LowStock,system,2025-12-22 00:00:00
59,3052,Thermal Base Layer Set - Women's,Ski,Backup,2,0,2,21,26,78,2026-04-29 02:00:00,107.61,Active,system,2025-12-22 00:00:00
60,3053,Waterproof Ski Pants,Ski,Main,7,1,6,11,16,92,2026-04-28 22:00:00,159.63,LowStock,system,2025-12-25 00:00:00
61,3061,Professional Ski Helmet,Ski,Main,269,78,191,38,56,228,2026-04-29 17:00:00,127.13,Excess,system,2025-10-24 00:00:00
62,3062,Anti-Fog Ski Goggles,Ski,Main,20,5,15,41,59,199,2026-04-29 06:00:00,94.98,LowStock,system,2025-12-07 00:00:00
63,3071,Ski Boot Bag - Premium,Ski,Main,29,5,24,5,8,28,2026-04-28 13:00:00,38.11,Excess,system,2025-10-05 00:00:00
64,3071,Ski Boot Bag - Premium,Ski,Backup,11,0,11,5,8,28,2026-04-28 13:00:00,38.11,Active,system,2025-10-05 00:00:00
65,3072,Hand Warmers - 10 Pack,Ski,Main,20,5,15,4,6,33,2026-04-28 07:00:00,9.14,Active,system,2025-12-02 00:00:00
66,3081,All-Temp Ski Wax Kit,Ski,Main,120,17,103,36,53,210,2026-04-28 18:00:00,49.05,Active,system,2025-12-13 00:00:00
67,3082,Edge Tuning Tool Set,Ski,Main,46,9,37,27,39,125,2026-04-28 22:00:00,95.06,Active,system,2025-10-30 00:00:00
68,3091,Freestyle Snowboard - 155cm,Ski,Main,239,35,204,35,63,240,2026-04-29 03:00:00,461.73,Active,system,2025-11-13 00:00:00
69,3092,All-Mountain Snowboard - 158cm,Ski,Main,1,0,1,24,45,196,2026-04-29 21:00:00,602.17,LowStock,system,2026-03-21 00:00:00
70,3101,Winter Boots - Insulated,Ski,Backup,20,4,16,20,36,134,2026-04-29 01:00:00,121.65,LowStock,system,2025-12-17 00:00:00
71,3102,Winter Hiking Boots - Waterproof,Ski,Main,42,5,37,8,10,44,2026-04-28 19:00:00,161.94,Active,system,2025-11-15 00:00:00
72,3103,Snowboard Bindings - Pro,Ski,Main,98,17,81,31,45,164,2026-04-29 22:00:00,221.41,Active,system,2025-11-15 00:00:00
73,3104,Ski Tuning Bench - Portable,Ski,Main,69,10,59,21,37,117,2026-04-28 02:00:00,134.62,Active,system,2026-03-04 00:00:00
