ProductSupplierID,ProductID,ProductName,SupplierID,SupplierProductCode,WholesaleCost,MinOrderQuantity,MaxOrderQuantity,LeadTimeDays,Status,CreatedBy,CreatedDate
59,3703,Snowboard,3,WIN-3703,234.0,1,10000.0,13,Active,system,2025-12-06
60,3713,Snowboard Bindings,3,WIN-3713,117.0,1,10000.0,11,Active,system,2025-11-29
61,1521,Adventurer Pro Backpack,4,ALT-1521,120.75,6,8000.0,15,Active,system,2025-12-12
62,1531,Summit Breeze Jacket,4,ALT-1531,89.73,2,8000.0,12,Active,system,2025-11-08
63,1541,TrekReady Hiking Boots,4,ALT-1541,99.98,2,8000.0,10,Active,system,2025-11-23
64,1551,Adventure Daypack,4,ALT-1551,55.72,4,8000.0,14,Active,system,2025-12-30
65,1561,Trail Explorer Hat,4,ALT-1561,19.03,6,8000.0,7,Active,system,2025-11-19
66,2522,Pro Chef Knife Set,4,ALT-2522,96.04,2,8000.0,9,Active,system,2025-12-01
67,2532,Silicone Baking Mats,4,ALT-2532,23.05,6,8000.0,6,Active,system,2025-11-15
68,2542,Digital Kitchen Scale,4,ALT-2542,34.58,4,8000.0,8,Active,system,2025-12-17
69,2552,Measuring Cup Set,4,ALT-2552,19.22,9,8000.0,5,Active,system,2025-11-26
70,2562,Stainless Mixing Bowls,4,ALT-2562,46.12,3,8000.0,10,Active,system,2025-12-04
71,3523,Alpine Snow Skis,5,SPE-3523,288.08,2,5000.0,16,Active,system,2025-12-21
72,3533,Ski Boot Collection,5,SPE-3533,192.08,2,5000.0,14,Active,system,2025-11-10
73,3543,Pro Ski Poles,5,SPE-3543,76.83,3,5000.0,12,Active,system,2025-12-23
74,3553,Snow Helmet,5,SPE-3553,115.25,2,5000.0,10,Active,system,2025-11-02
75,3563,Ski Goggles,5,SPE-3563,57.62,3,5000.0,8,Active,system,2025-12-08
