InventoryID,ProductID,ProductName,WarehouseID,CurrentStock,ReservedStock,AvailableStock,SafetyStockLevel,ReorderPoint,MaxStockLevel,LastUpdated,AverageCost,Status,CreatedBy,CreatedDate
16,1562,PowerBurner Camping Stove,WH_500,137,34,103,33,45,216,2026-04-29,138.38,Active,system,2025-09-03
17,1562,PowerBurner Camping Stove,WH_200,39,0,39,33,45,216,2026-04-29,138.38,Active,system,2025-09-03
18,1572,MountainDream Sleeping Bag,WH_500,509,110,399,98,168,610,2026-04-28,201.31,Active,system,2026-02-23
19,1572,MountainDream Sleeping Bag,WH_200,172,0,172,98,168,610,2026-04-28,201.31,Active,system,2026-02-23
20,1512,SkyView 2-Person Tent,WH_200,653,136,517,138,195,861,2026-04-29,218.0,Active,system,2026-01-26
21,1523,TrailLite Daypack,WH_100,684,169,515,148,259,841,2026-04-28,57.69,Active,system,2025-11-02
22,1533,RainGuard Hiking Jacket,WH_100,688,114,574,160,225,676,2026-04-29,111.62,Excess,system,2026-02-22
23,1543,TrekStar Hiking Sandals,WH_200,60,9,51,115,210,735,2026-04-28,63.22,LowStock,system,2025-10-02
24,1543,TrekStar Hiking Sandals,WH_200,17,0,17,115,210,735,2026-04-28,63.22,Active,system,2025-10-02
25,1553,Adventure Dining Table,WH_100,218,53,165,60,85,409,2026-04-28,109.67,Active,system,2025-08-18
26,1563,CompactCook Camping Stove,WH_500,33,7,26,41,70,172,2026-04-29,69.26,LowStock,system,2026-01-02
27,1581,LED Headlamp - Rechargeable,WH_100,115,27,88,38,52,146,2026-04-28,27.36,Active,system,2025-07-03
28,2011,Coffee Maker,WH_200,586,82,504,854,1170,4701,2026-04-29,125.26,LowStock,system,2025-08-30
29,2012,Espresso Machine,WH_100,781,150,631,600,1037,5247,2026-04-28,303.83,Active,system,2025-09-19
30,2021,Chef Knife,WH_200,3161,320,2841,546,1043,2675,2026-04-28,63.7,Excess,system,2025-09-04
31,2022,Fork Set,WH_100,317,85,232,464,631,2884,2026-04-29,33.74,LowStock,system,2025-07-21
32,2022,Fork Set,WH_200,112,0,112,464,631,2884,2026-04-29,33.74,Active,system,2025-07-21
33,2031,Coffee Mug,WH_200,3138,353,2785,384,675,3059,2026-04-29,22.64,Excess,system,2025-08-16
34,2031,Coffee Mug,WH_200,1094,0,1094,384,675,3059,2026-04-29,22.64,Active,system,2025-08-16
35,2041,Serving Platter,WH_200,1174,131,1043,314,534,2349,2026-04-28,44.8,Active,system,2025-11-17
36,2041,Serving Platter,WH_200,577,0,577,314,534,2349,2026-04-28,44.8,Active,system,2025-11-17
37,2051,Ice Cream Bowl,WH_100,855,179,676,143,176,1006,2026-04-28,16.63,Active,system,2026-02-26
38,2061,Mixing Bowl,WH_100,1981,529,1452,446,783,2792,2026-04-28,29.7,Active,system,2025-07-17
39,2071,Baking Pan,WH_100,813,238,575,477,682,2220,2026-04-28,20.64,Active,system,2025-11-13
40,2071,Baking Pan,WH_200,291,0,291,477,682,2220,2026-04-28,20.64,Active,system,2025-11-13
41,2081,Food Storage Set,WH_100,1907,478,1429,220,396,1642,2026-04-28,24.96,Excess,system,2025-07-14
42,2081,Food Storage Set,WH_200,531,0,531,220,396,1642,2026-04-28,24.96,Active,system,2025-07-14
43,2091,Spatula,WH_100,1239,211,1028,189,305,1227,2026-04-29,9.02,Excess,system,2025-12-31
44,2091,Spatula,WH_200,510,0,510,189,305,1227,2026-04-29,9.02,Active,system,2025-12-31
45,2101,Measuring Cup Set,WH_200,55,12,43,131,169,998,2026-04-29,13.02,LowStock,system,2025-07-08
46,2111,High-Speed Blender,WH_100,776,179,597,198,270,665,2026-04-29,142.34,Excess,system,2026-02-25
47,2111,High-Speed Blender,WH_200,177,0,177,198,270,665,2026-04-29,142.34,Active,system,2026-02-25
48,2112,4-Slice Toaster,WH_200,1213,236,977,128,176,1172,2026-04-28,66.97,Excess,system,2026-01-05
49,2121,Bamboo Cutting Board Set,WH_100,847,158,689,129,254,1005,2026-04-28,33.94,Active,system,2025-09-17
50,3011,Alpine Pro Racing Skis - 170cm,WH_100,5,1,4,11,16,56,2026-04-29,904.82,LowStock,system,2025-07-09
51,3011,Alpine Pro Racing Skis - 170cm,WH_200,1,0,1,11,16,56,2026-04-29,904.82,Active,system,2025-07-09
52,3012,Mountain Master All-Terrain Skis - 165cm,WH_100,46,12,34,18,22,96,2026-04-29,674.65,Active,system,2025-08-29
53,3013,Beginner's Choice Alpine Skis - 160cm,WH_200,64,11,53,17,21,148,2026-04-28,309.01,Active,system,2025-08-27
54,3021,Nordic Classic XC Skis - 185cm,WH_200,8,2,6,5,6,44,2026-04-28,230.76,Active,system,2026-02-11
55,3021,Nordic Classic XC Skis - 185cm,WH_200,2,0,2,5,6,44,2026-04-28,230.76,Active,system,2026-02-11
56,3022,Backcountry Explorer XC Skis - 190cm,WH_100,22,3,19,11,18,46,2026-04-28,404.3,Active,system,2025-09-18
57,3022,Backcountry Explorer XC Skis - 190cm,WH_200,4,0,4,11,18,46,2026-04-28,404.3,Active,system,2025-09-18
58,3031,Pro Flex Racing Ski Boots,WH_500,17,2,15,17,23,104,2026-04-28,443.22,LowStock,system,2026-02-26
59,3032,Comfort Fit Recreational Boots,WH_100,16,3,13,11,14,66,2026-04-28,264.98,Active,system,2026-01-01
60,3033,Women's Performance Ski Boots,WH_100,132,34,98,22,35,119,2026-04-29,379.79,Excess,system,2026-03-22
61,3041,Carbon Fiber Racing Poles - 120cm,WH_500,0,0,0,7,10,56,2026-04-28,133.36,OutOfStock,system,2026-02-09
62,3042,Aluminum All-Mountain Poles - 115cm,WH_100,16,4,12,10,17,73,2026-04-29,74.42,Active,system,2025-11-01
63,3051,Insulated Ski Jacket - Men's,WH_200,85,9,76,12,14,86,2026-04-28,201.38,Active,system,2025-12-22
64,3051,Insulated Ski Jacket - Men's,WH_200,21,0,21,12,14,86,2026-04-28,201.38,Active,system,2025-12-22
65,3052,Thermal Base Layer Set - Women's,WH_500,77,13,64,15,28,67,2026-04-29,103.37,Excess,system,2025-09-06
66,3053,Waterproof Ski Pants,WH_500,23,4,19,10,14,89,2026-04-28,173.71,Active,system,2025-11-09
67,3061,Professional Ski Helmet,WH_200,45,11,34,4,7,43,2026-04-29,138.78,Excess,system,2025-09-17
68,3062,Anti-Fog Ski Goggles,WH_500,0,0,0,4,5,37,2026-04-29,95.86,OutOfStock,system,2025-12-05
69,3071,Ski Boot Bag - Premium,WH_200,23,6,17,5,6,24,2026-04-28,41.93,Active,system,2025-10-02
70,3071,Ski Boot Bag - Premium,WH_200,6,0,6,5,6,24,2026-04-28,41.93,Active,system,2025-10-02
71,3072,Hand Warmers - 10 Pack,WH_100,5,0,5,5,9,18,2026-04-28,9.82,LowStock,system,2025-10-12
72,3081,All-Temp Ski Wax Kit,WH_100,79,10,69,16,25,92,2026-04-28,59.66,Active,system,2026-01-15
73,3081,All-Temp Ski Wax Kit,WH_200,37,0,37,16,25,92,2026-04-28,59.66,Active,system,2026-01-15
74,3082,Edge Tuning Tool Set,WH_100,18,2,16,13,18,77,2026-04-28,78.73,Active,system,2025-12-31
75,3082,Edge Tuning Tool Set,WH_200,5,0,5,13,18,77,2026-04-28,78.73,Active,system,2025-12-31
76,3091,Freestyle Snowboard - 155cm,WH_100,14,3,11,3,5,27,2026-04-28,431.14,Active,system,2026-02-27
77,3092,All-Mountain Snowboard - 158cm,WH_100,1,0,1,5,7,38,2026-04-28,567.52,LowStock,system,2026-01-16
78,3101,Winter Boots - Insulated,WH_100,4,0,4,5,9,29,2026-04-28,119.75,LowStock,system,2025-07-13
79,3101,Winter Boots - Insulated,WH_200,1,0,1,5,9,29,2026-04-28,119.75,Active,system,2025-07-13
80,3102,Winter Hiking Boots - Waterproof,WH_100,4,0,4,2,2,21,2026-04-28,180.28,Active,system,2025-08-02
81,3103,Snowboard Bindings - Pro,WH_100,4,0,4,5,8,23,2026-04-28,221.75,LowStock,system,2026-01-17
82,3104,Ski Tuning Bench - Portable,WH_500,85,12,73,15,23,87,2026-04-28,127.6,Active,system,2025-10-19
83,3104,Ski Tuning Bench - Portable,WH_200,36,0,36,15,23,87,2026-04-28,127.6,Active,system,2025-10-19
