ForecastID,ProductID,ProductName,ForecastDate,ForecastPeriod,PredictedDemand,ConfidenceLevel,SeasonalMultiplier,TrendDirection,BaselineDemand,SalesTrendMultiplier,CompoundTrendMultiplier,MethodUsed,ForecastHorizon,ActualDemand,AccuracyScore,CreatedBy,CreatedDate
36,1571,CozyNights Sleeping Bag,2026-05-01,Monthly,127,80.65,1.0,Growing,118,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-04-19
37,1571,CozyNights Sleeping Bag,2026-05-01,Weekly,29,81.59,1.0,Growing,118,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-21
38,1571,CozyNights Sleeping Bag,2026-05-08,Weekly,29,84.97,1.0,Growing,118,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-09
39,1571,CozyNights Sleeping Bag,2026-05-15,Weekly,29,84.02,1.0,Growing,118,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-21
40,1571,CozyNights Sleeping Bag,2026-05-22,Weekly,29,83.24,1.0,Growing,118,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-07
41,1571,CozyNights Sleeping Bag,2026-06-01,Monthly,137,80.65,1.0,Growing,118,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-04-27
42,1571,CozyNights Sleeping Bag,2026-07-01,Monthly,148,80.65,1.0,Growing,118,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-04-04
43,1511,Alpine Explorer Tent,2026-05-01,Monthly,243,84.85,1.0,Growing,225,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-04-11
44,1511,Alpine Explorer Tent,2026-05-01,Weekly,56,84.09,1.0,Growing,225,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-02
45,1511,Alpine Explorer Tent,2026-05-08,Weekly,56,84.43,1.0,Growing,225,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-05
46,1511,Alpine Explorer Tent,2026-05-15,Weekly,56,85.29,1.0,Growing,225,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-20
47,1511,Alpine Explorer Tent,2026-05-22,Weekly,56,89.54,1.0,Growing,225,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-06
48,1511,Alpine Explorer Tent,2026-06-01,Monthly,262,84.85,1.0,Growing,225,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-04-12
49,1511,Alpine Explorer Tent,2026-07-01,Monthly,283,84.85,1.0,Growing,225,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-04-27
50,1522,SummitClimber Backpack,2026-05-01,Monthly,208,77.84,1.0,Growing,193,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-04-17
51,1522,SummitClimber Backpack,2026-05-01,Weekly,48,78.93,1.0,Growing,193,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-21
52,1522,SummitClimber Backpack,2026-05-08,Weekly,48,74.23,1.0,Growing,193,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-12
53,1522,SummitClimber Backpack,2026-05-15,Weekly,48,80.39,1.0,Growing,193,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-29
54,1522,SummitClimber Backpack,2026-05-22,Weekly,48,75.13,1.0,Growing,193,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-25
55,1522,SummitClimber Backpack,2026-06-01,Monthly,225,77.84,1.0,Growing,193,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-04-15
56,1522,SummitClimber Backpack,2026-07-01,Monthly,243,77.84,1.0,Growing,193,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-04-20
57,1532,TrailBlaze Hiking Pants,2026-05-01,Monthly,241,79.62,1.0,Growing,224,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-04-29
58,1532,TrailBlaze Hiking Pants,2026-05-01,Weekly,56,77.09,1.0,Growing,224,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-16
59,1532,TrailBlaze Hiking Pants,2026-05-08,Weekly,56,79.38,1.0,Growing,224,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-19
60,1532,TrailBlaze Hiking Pants,2026-05-15,Weekly,56,83.53,1.0,Growing,224,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-24
61,1532,TrailBlaze Hiking Pants,2026-05-22,Weekly,56,81.65,1.0,Growing,224,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-21
62,1532,TrailBlaze Hiking Pants,2026-06-01,Monthly,261,79.62,1.0,Growing,224,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-04-14
63,1532,TrailBlaze Hiking Pants,2026-07-01,Monthly,282,79.62,1.0,Growing,224,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-04-23
64,1542,TrailWalker Hiking Shoes,2026-05-01,Monthly,187,81.81,1.0,Growing,174,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-04-23
65,1542,TrailWalker Hiking Shoes,2026-05-01,Weekly,43,85.4,1.0,Growing,174,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-07
66,1542,TrailWalker Hiking Shoes,2026-05-08,Weekly,43,78.67,1.0,Growing,174,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-14
67,1542,TrailWalker Hiking Shoes,2026-05-15,Weekly,43,79.61,1.0,Growing,174,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-21
68,1542,TrailWalker Hiking Shoes,2026-05-22,Weekly,43,77.83,1.0,Growing,174,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-23
69,1542,TrailWalker Hiking Shoes,2026-06-01,Monthly,202,81.81,1.0,Growing,174,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-04-13
70,1542,TrailWalker Hiking Shoes,2026-07-01,Monthly,219,81.81,1.0,Growing,174,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-04-28
71,1552,TrekMaster Camping Chair,2026-05-01,Monthly,86,89.02,1.0,Growing,80,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-04-02
72,1552,TrekMaster Camping Chair,2026-05-01,Weekly,20,84.06,1.0,Growing,80,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-08
73,1552,TrekMaster Camping Chair,2026-05-08,Weekly,20,89.55,1.0,Growing,80,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-29
74,1552,TrekMaster Camping Chair,2026-05-15,Weekly,20,90.29,1.0,Growing,80,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-16
75,1552,TrekMaster Camping Chair,2026-05-22,Weekly,20,92.46,1.0,Growing,80,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-27
76,1552,TrekMaster Camping Chair,2026-06-01,Monthly,93,89.02,1.0,Growing,80,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-04-11
77,1552,TrekMaster Camping Chair,2026-07-01,Monthly,100,89.02,1.0,Growing,80,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-04-13
78,1562,PowerBurner Camping Stove,2026-05-01,Monthly,57,81.73,1.0,Growing,53,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-04-19
79,1562,PowerBurner Camping Stove,2026-05-01,Weekly,13,84.96,1.0,Growing,53,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-18
80,1562,PowerBurner Camping Stove,2026-05-08,Weekly,13,78.45,1.0,Growing,53,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-09
81,1562,PowerBurner Camping Stove,2026-05-15,Weekly,13,78.01,1.0,Growing,53,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-03
82,1562,PowerBurner Camping Stove,2026-05-22,Weekly,13,77.81,1.0,Growing,53,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-10
83,1562,PowerBurner Camping Stove,2026-06-01,Monthly,61,81.73,1.0,Growing,53,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-04-24
84,1562,PowerBurner Camping Stove,2026-07-01,Monthly,66,81.73,1.0,Growing,53,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-04-05
85,1572,MountainDream Sleeping Bag,2026-05-01,Monthly,112,83.78,1.0,Growing,104,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-04-02
86,1572,MountainDream Sleeping Bag,2026-05-01,Weekly,26,80.26,1.0,Growing,104,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-26
87,1572,MountainDream Sleeping Bag,2026-05-08,Weekly,26,81.63,1.0,Growing,104,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-18
88,1572,MountainDream Sleeping Bag,2026-05-15,Weekly,26,85.04,1.0,Growing,104,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-05
89,1572,MountainDream Sleeping Bag,2026-05-22,Weekly,26,87.98,1.0,Growing,104,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-05
90,1572,MountainDream Sleeping Bag,2026-06-01,Monthly,121,83.78,1.0,Growing,104,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-04-24
91,1572,MountainDream Sleeping Bag,2026-07-01,Monthly,131,83.78,1.0,Growing,104,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-04-01
92,1512,SkyView 2-Person Tent,2026-05-01,Monthly,221,94.48,1.0,Growing,205,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-04-25
93,1512,SkyView 2-Person Tent,2026-05-01,Weekly,51,90.37,1.0,Growing,205,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-09
94,1512,SkyView 2-Person Tent,2026-05-08,Weekly,51,95.12,1.0,Growing,205,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-04
95,1512,SkyView 2-Person Tent,2026-05-15,Weekly,51,95.68,1.0,Growing,205,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-19
96,1512,SkyView 2-Person Tent,2026-05-22,Weekly,51,93.79,1.0,Growing,205,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-25
97,1512,SkyView 2-Person Tent,2026-06-01,Monthly,239,94.48,1.0,Growing,205,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-04-15
98,1512,SkyView 2-Person Tent,2026-07-01,Monthly,258,94.48,1.0,Growing,205,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-04-03
99,1523,TrailLite Daypack,2026-05-01,Monthly,203,90.27,1.0,Growing,188,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-04-23
100,1523,TrailLite Daypack,2026-05-01,Weekly,47,90.94,1.0,Growing,188,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-14
101,1523,TrailLite Daypack,2026-05-08,Weekly,47,85.86,1.0,Growing,188,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-04
102,1523,TrailLite Daypack,2026-05-15,Weekly,47,89.79,1.0,Growing,188,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-08
103,1523,TrailLite Daypack,2026-05-22,Weekly,47,90.71,1.0,Growing,188,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-01
104,1523,TrailLite Daypack,2026-06-01,Monthly,219,90.27,1.0,Growing,188,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-04-22
105,1523,TrailLite Daypack,2026-07-01,Monthly,236,90.27,1.0,Growing,188,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-04-08
106,1533,RainGuard Hiking Jacket,2026-05-01,Monthly,228,75.26,1.0,Growing,212,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-04-23
107,1533,RainGuard Hiking Jacket,2026-05-01,Weekly,53,70.8,1.0,Growing,212,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-27
108,1533,RainGuard Hiking Jacket,2026-05-08,Weekly,53,78.54,1.0,Growing,212,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-11
109,1533,RainGuard Hiking Jacket,2026-05-15,Weekly,53,76.44,1.0,Growing,212,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-26
110,1533,RainGuard Hiking Jacket,2026-05-22,Weekly,53,75.5,1.0,Growing,212,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-12
111,1533,RainGuard Hiking Jacket,2026-06-01,Monthly,247,75.26,1.0,Growing,212,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-04-09
112,1533,RainGuard Hiking Jacket,2026-07-01,Monthly,267,75.26,1.0,Growing,212,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-04-07
113,1543,TrekStar Hiking Sandals,2026-05-01,Monthly,169,88.8,1.0,Growing,157,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-04-17
114,1543,TrekStar Hiking Sandals,2026-05-01,Weekly,39,90.89,1.0,Growing,157,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-25
115,1543,TrekStar Hiking Sandals,2026-05-08,Weekly,39,90.96,1.0,Growing,157,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-10
116,1543,TrekStar Hiking Sandals,2026-05-15,Weekly,39,91.84,1.0,Growing,157,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-18
117,1543,TrekStar Hiking Sandals,2026-05-22,Weekly,39,85.01,1.0,Growing,157,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-21
118,1543,TrekStar Hiking Sandals,2026-06-01,Monthly,183,88.8,1.0,Growing,157,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-04-09
119,1543,TrekStar Hiking Sandals,2026-07-01,Monthly,197,88.8,1.0,Growing,157,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-04-16
120,1553,Adventure Dining Table,2026-05-01,Monthly,79,90.39,1.0,Growing,74,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-04-14
121,1553,Adventure Dining Table,2026-05-01,Weekly,18,92.82,1.0,Growing,74,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-05
122,1553,Adventure Dining Table,2026-05-08,Weekly,18,93.59,1.0,Growing,74,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-07
123,1553,Adventure Dining Table,2026-05-15,Weekly,18,86.11,1.0,Growing,74,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-19
124,1553,Adventure Dining Table,2026-05-22,Weekly,18,93.67,1.0,Growing,74,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-26
125,1553,Adventure Dining Table,2026-06-01,Monthly,86,90.39,1.0,Growing,74,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-04-22
126,1553,Adventure Dining Table,2026-07-01,Monthly,93,90.39,1.0,Growing,74,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-04-01
127,1563,CompactCook Camping Stove,2026-05-01,Monthly,56,91.69,1.0,Growing,52,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-04-22
128,1563,CompactCook Camping Stove,2026-05-01,Weekly,13,94.87,1.0,Growing,52,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-02
129,1563,CompactCook Camping Stove,2026-05-08,Weekly,13,86.76,1.0,Growing,52,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-19
130,1563,CompactCook Camping Stove,2026-05-15,Weekly,13,90.01,1.0,Growing,52,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-05
131,1563,CompactCook Camping Stove,2026-05-22,Weekly,13,96.39,1.0,Growing,52,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-12
132,1563,CompactCook Camping Stove,2026-06-01,Monthly,60,91.69,1.0,Growing,52,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-04-11
133,1563,CompactCook Camping Stove,2026-07-01,Monthly,65,91.69,1.0,Growing,52,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-03-31
134,1581,LED Headlamp - Rechargeable,2026-05-01,Monthly,88,88.84,1.0,Growing,82,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-04-22
135,1581,LED Headlamp - Rechargeable,2026-05-01,Weekly,20,90.86,1.0,Growing,82,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-26
136,1581,LED Headlamp - Rechargeable,2026-05-08,Weekly,20,91.56,1.0,Growing,82,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-27
137,1581,LED Headlamp - Rechargeable,2026-05-15,Weekly,20,93.38,1.0,Growing,82,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-05
138,1581,LED Headlamp - Rechargeable,2026-05-22,Weekly,20,89.3,1.0,Growing,82,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-13
139,1581,LED Headlamp - Rechargeable,2026-06-01,Monthly,95,88.84,1.0,Growing,82,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-04-27
140,1581,LED Headlamp - Rechargeable,2026-07-01,Monthly,103,88.84,1.0,Growing,82,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-04-09
141,2011,Coffee Maker,2026-05-01,Monthly,1074,93.34,1.0,Growing,995,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-04-20
142,2011,Coffee Maker,2026-05-01,Weekly,249,95.84,1.0,Growing,995,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-15
143,2011,Coffee Maker,2026-05-08,Weekly,249,88.56,1.0,Growing,995,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-05
144,2011,Coffee Maker,2026-05-15,Weekly,249,89.39,1.0,Growing,995,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-01
145,2011,Coffee Maker,2026-05-22,Weekly,249,92.86,1.0,Growing,995,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-08
146,2011,Coffee Maker,2026-06-01,Monthly,1160,93.34,1.0,Growing,995,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-04-29
147,2011,Coffee Maker,2026-07-01,Monthly,1253,93.34,1.0,Growing,995,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-04-08
148,2012,Espresso Machine,2026-05-01,Monthly,1047,78.25,1.0,Growing,970,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-04-10
149,2012,Espresso Machine,2026-05-01,Weekly,243,77.75,1.0,Growing,970,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-29
150,2012,Espresso Machine,2026-05-08,Weekly,243,83.16,1.0,Growing,970,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-06
151,2012,Espresso Machine,2026-05-15,Weekly,243,80.76,1.0,Growing,970,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-19
152,2012,Espresso Machine,2026-05-22,Weekly,243,74.17,1.0,Growing,970,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-10
153,2012,Espresso Machine,2026-06-01,Monthly,1131,78.25,1.0,Growing,970,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-04-25
154,2012,Espresso Machine,2026-07-01,Monthly,1221,78.25,1.0,Growing,970,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-04-15
155,2021,Chef Knife,2026-05-01,Monthly,681,77.28,1.0,Growing,631,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-04-10
156,2021,Chef Knife,2026-05-01,Weekly,158,82.11,1.0,Growing,631,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-17
157,2021,Chef Knife,2026-05-08,Weekly,158,72.28,1.0,Growing,631,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-22
158,2021,Chef Knife,2026-05-15,Weekly,158,74.49,1.0,Growing,631,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-16
159,2021,Chef Knife,2026-05-22,Weekly,158,78.77,1.0,Growing,631,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-05
160,2021,Chef Knife,2026-06-01,Monthly,735,77.28,1.0,Growing,631,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-04-17
161,2021,Chef Knife,2026-07-01,Monthly,794,77.28,1.0,Growing,631,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-04-02
162,2022,Fork Set,2026-05-01,Monthly,680,75.96,1.0,Growing,630,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-04-02
163,2022,Fork Set,2026-05-01,Weekly,158,74.8,1.0,Growing,630,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-09
164,2022,Fork Set,2026-05-08,Weekly,158,77.09,1.0,Growing,630,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-09
165,2022,Fork Set,2026-05-15,Weekly,158,80.58,1.0,Growing,630,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-05
