TransactionID,ProductID,WarehouseID,TransactionType,TransactionDate,Quantity,UnitCost,TotalValue,ReferenceNumber,ReasonCode,StockBefore,StockAfter,ProcessedBy,Notes,CreatedBy,CreatedDate
50,3033,1,Receipt,2026-01-14,128,423.43,54199.04,PO-8440,Purchase Order Receipt,144,272,system,Transaction processed for WH_100 location,system,2026-01-14
51,1553,1,Sale,2026-02-17,-1,91.38,91.38,SO-97522,Customer Sale,194,193,system,Transaction processed for WH_100 location,system,2026-02-17
52,2031,1,Sale,2025-12-31,-23,23.04,529.92,SO-89088,Customer Sale,99,76,warehouse1,Transaction processed for WH_100 location,system,2025-12-31
53,2031,1,Adjustment,2025-08-01,0,23.04,0.0,ADJ-53,Cycle Count,125,125,system,Transaction processed for WH_100 location,system,2025-08-01
54,2022,1,Sale,2026-03-08,-50,36.37,1818.5,SO-15865,Customer Sale,145,95,warehouse2,Transaction processed for WH_100 location,system,2026-03-08
55,1543,1,Transfer,2025-11-29,-44,65.36,2875.84,TRF-9712,Warehouse Transfer,87,43,warehouse1,Transaction processed for WH_100 location,system,2025-11-29
56,3061,1,Adjustment,2025-09-14,9,151.7,1365.3,ADJ-56,System Correction,108,117,warehouse2,Transaction processed for WH_100 location,system,2025-09-14
57,1512,1,Transfer,2025-09-07,-43,219.21,9426.03,TRF-5414,Warehouse Transfer,108,65,warehouse2,Transaction processed for WH_100 location,system,2025-09-07
58,1581,1,Sale,2026-02-13,-46,48.56,2233.76,SO-96364,Customer Sale,74,28,warehouse2,Transaction processed for WH_100 location,system,2026-02-13
59,2051,1,Sale,2025-12-13,-33,16.44,542.52,SO-13640,Customer Sale,109,76,system,Transaction processed for WH_100 location,system,2025-12-13
60,2051,2,Sale,2025-08-31,-23,16.44,378.12,SO-74849,Customer Sale,23,0,warehouse2,Transaction processed for Backup location,system,2025-08-31
61,3061,1,Receipt,2026-04-07,91,145.99,13285.09,PO-2886,Purchase Order Receipt,63,154,warehouse1,Transaction processed for WH_100 location,system,2026-04-07
62,1571,1,Sale,2026-02-09,-48,109.65,5263.2,SO-81586,Customer Sale,310,262,warehouse2,Transaction processed for WH_100 location,system,2026-02-09
63,1511,2,Receipt,2025-09-04,61,321.9,19635.9,PO-5820,Purchase Order Receipt,179,240,warehouse2,Transaction processed for WH_200 location,system,2025-09-04
64,1562,1,Sale,2025-08-21,-13,121.04,1573.52,SO-18487,Customer Sale,18,5,warehouse2,Transaction processed for WH_100 location,system,2025-08-21
65,3104,2,Sale,2025-09-07,-16,118.89,1902.24,SO-45512,Customer Sale,56,40,warehouse2,Transaction processed for Backup location,system,2025-09-07
66,3022,1,Sale,2025-09-12,-26,352.53,9165.78,SO-40916,Customer Sale,26,0,warehouse2,Transaction processed for WH_100 location,system,2025-09-12
67,2101,2,Sale,2025-11-14,-38,13.5,513.0,SO-44871,Customer Sale,134,96,warehouse1,Transaction processed for WH_200 location,system,2025-11-14
68,1542,1,Sale,2025-08-09,-34,90.83,3088.22,SO-83059,Customer Sale,207,173,warehouse1,Transaction processed for WH_100 location,system,2025-08-09
69,1542,1,Sale,2026-02-01,-5,90.83,454.15,SO-72722,Customer Sale,91,86,system,Transaction processed for WH_100 location,system,2026-02-01
70,2071,2,Transfer,2025-11-01,-18,21.94,394.92,TRF-4008,Warehouse Transfer,18,0,warehouse2,Transaction processed for Backup location,system,2025-11-01
71,3031,2,Sale,2025-11-23,-32,419.97,13439.04,SO-57836,Customer Sale,43,11,warehouse2,Transaction processed for Backup location,system,2025-11-23
72,3042,2,Adjustment,2025-11-03,8,62.54,500.32,ADJ-72,System Correction,8,16,warehouse2,Transaction processed for Backup location,system,2025-11-03
73,3011,1,Sale,2026-03-05,-39,968.68,37778.52,SO-47307,Customer Sale,125,86,warehouse1,Transaction processed for WH_100 location,system,2026-03-05
74,2041,1,Sale,2025-10-04,-32,44.39,1420.48,SO-66471,Customer Sale,93,61,warehouse2,Transaction processed for WH_100 location,system,2025-10-04
75,1551,2,Sale,2025-10-06,-30,67.04,2011.2,SO-56604,Customer Sale,30,0,warehouse2,Transaction processed for Backup location,system,2025-10-06
76,3031,2,Receipt,2025-09-30,113,413.68,46745.84,PO-2671,Purchase Order Receipt,4,117,warehouse2,Transaction processed for Backup location,system,2025-09-30
77,3103,1,Sale,2026-02-23,-46,180.33,8295.18,SO-68254,Customer Sale,180,134,warehouse2,Transaction processed for WH_100 location,system,2026-02-23
78,3012,1,Adjustment,2026-04-11,-14,659.11,9227.54,ADJ-78,Cycle Count,267,253,warehouse2,Transaction processed for WH_100 location,system,2026-04-11
79,2061,1,Receipt,2025-08-11,150,24.79,3718.5,PO-8318,Purchase Order Receipt,70,220,system,Transaction processed for WH_100 location,system,2025-08-11
80,2051,2,Sale,2025-08-16,-48,16.44,789.12,SO-32223,Customer Sale,97,49,warehouse1,Transaction processed for Backup location,system,2025-08-16
81,3052,2,Damage,2026-01-22,-5,115.25,576.25,DMG-81,Warehouse Damage,5,0,warehouse1,Transaction processed for Backup location,system,2026-01-22
82,2112,1,Sale,2026-03-22,-21,66.6,1398.6,SO-57083,Customer Sale,72,51,warehouse1,Transaction processed for WH_100 location,system,2026-03-22
83,2021,1,Return,2025-08-18,2,57.05,114.1,RET-82668,Customer Return,218,220,warehouse2,Transaction processed for WH_100 location,system,2025-08-18
84,1521,2,Adjustment,2026-02-25,20,122.8,2456.0,ADJ-84,Cycle Count,3,23,system,Transaction processed for Backup location,system,2026-02-25
85,1522,1,Receipt,2026-03-31,158,161.1,25453.8,PO-4713,Purchase Order Receipt,102,260,system,Transaction processed for WH_100 location,system,2026-03-31
86,2101,2,Adjustment,2025-08-21,4,13.5,54.0,ADJ-86,Cycle Count,120,124,warehouse1,Transaction processed for WH_200 location,system,2025-08-21
87,3052,2,Receipt,2026-03-13,77,116.98,9007.46,PO-4847,Purchase Order Receipt,95,172,warehouse2,Transaction processed for Backup location,system,2026-03-13
88,1531,1,Receipt,2026-03-10,187,91.75,17157.25,PO-5343,Purchase Order Receipt,113,300,warehouse1,Transaction processed for WH_100 location,system,2026-03-10
89,3053,1,Sale,2025-12-12,-36,180.15,6485.4,SO-64254,Customer Sale,110,74,system,Transaction processed for WH_100 location,system,2025-12-12
90,2022,1,Adjustment,2025-08-20,6,36.37,218.22,ADJ-90,Physical Count,70,76,warehouse1,Transaction processed for WH_100 location,system,2025-08-20
91,1541,1,Sale,2025-12-25,-23,132.59,3049.57,SO-38078,Customer Sale,45,22,system,Transaction processed for WH_100 location,system,2025-12-25
92,3032,1,Receipt,2025-08-14,121,230.61,27903.81,PO-7998,Purchase Order Receipt,109,230,warehouse1,Transaction processed for WH_100 location,system,2025-08-14
93,3051,1,Sale,2025-09-10,-24,226.49,5435.76,SO-50043,Customer Sale,94,70,warehouse1,Transaction processed for WH_100 location,system,2025-09-10
94,2031,1,Transfer,2026-01-22,-24,23.04,552.96,TRF-1485,Warehouse Transfer,55,31,warehouse1,Transaction processed for WH_100 location,system,2026-01-22
95,1531,1,Receipt,2026-04-22,107,86.76,9283.32,PO-6593,Purchase Order Receipt,131,238,system,Transaction processed for WH_100 location,system,2026-04-22
96,3033,1,Sale,2025-10-15,-45,419.49,18877.05,SO-43753,Customer Sale,114,69,warehouse1,Transaction processed for WH_100 location,system,2025-10-15
97,1581,1,Receipt,2025-07-30,141,48.61,6854.01,PO-3044,Purchase Order Receipt,71,212,warehouse1,Transaction processed for WH_100 location,system,2025-07-30
98,1571,1,Receipt,2025-12-12,121,114.26,13825.46,PO-1223,Purchase Order Receipt,210,331,warehouse1,Transaction processed for WH_100 location,system,2025-12-12
99,3032,1,Receipt,2026-01-14,20,252.74,5054.8,PO-4652,Purchase Order Receipt,22,42,warehouse1,Transaction processed for WH_100 location,system,2026-01-14
100,3033,1,Return,2025-07-21,5,335.59,1677.95,RET-62201,Customer Return,121,126,warehouse2,Transaction processed for WH_100 location,system,2025-07-21
101,1521,2,Transfer,2026-04-29,0,122.8,0.0,TRF-9059,Warehouse Transfer,0,0,warehouse2,Transaction processed for Backup location,system,2026-04-29
102,3081,1,Sale,2025-10-15,-28,58.16,1628.48,SO-67297,Customer Sale,105,77,warehouse2,Transaction processed for WH_100 location,system,2025-10-15
103,1531,1,Adjustment,2025-09-10,19,91.09,1730.71,ADJ-103,Cycle Count,50,69,system,Transaction processed for WH_100 location,system,2025-09-10
104,1561,2,Sale,2025-07-23,-32,82.06,2625.92,SO-67720,Customer Sale,54,22,system,Transaction processed for Backup location,system,2025-07-23
105,1533,1,Receipt,2026-01-28,95,112.54,10691.3,PO-2816,Purchase Order Receipt,77,172,warehouse1,Transaction processed for WH_100 location,system,2026-01-28
106,2031,1,Sale,2025-11-28,-28,23.04,645.12,SO-35494,Customer Sale,120,92,warehouse2,Transaction processed for WH_100 location,system,2025-11-28
107,3061,1,Adjustment,2025-11-12,-12,151.7,1820.4,ADJ-107,Physical Count,57,45,system,Transaction processed for WH_100 location,system,2025-11-12
108,1572,3,Sale,2025-07-02,-19,222.59,4229.21,SO-27316,Customer Sale,204,185,system,Transaction processed for WH_500 location,system,2025-07-02
109,2112,1,Sale,2025-07-26,-17,66.6,1132.2,SO-82453,Customer Sale,225,208,warehouse2,Transaction processed for WH_100 location,system,2025-07-26
110,3071,2,Sale,2025-07-01,-34,39.17,1331.78,SO-38198,Customer Sale,62,28,warehouse2,Transaction processed for WH_200 location,system,2025-07-01
111,1531,2,Sale,2026-01-13,-2,91.09,182.18,SO-87818,Customer Sale,84,82,warehouse2,Transaction processed for Backup location,system,2026-01-13
112,3091,2,Sale,2026-04-15,-8,456.94,3655.52,SO-85851,Customer Sale,114,106,warehouse1,Transaction processed for WH_200 location,system,2026-04-15
113,2021,1,Transfer,2026-04-03,-16,71.31,1140.96,TRF-3879,Warehouse Transfer,159,143,warehouse1,Transaction processed for WH_100 location,system,2026-04-03
114,2071,1,Sale,2026-02-12,-20,21.94,438.8,SO-25856,Customer Sale,106,86,system,Transaction processed for WH_100 location,system,2026-02-12
115,2111,2,Sale,2025-08-27,-44,142.6,6274.4,SO-10679,Customer Sale,63,19,warehouse2,Transaction processed for WH_200 location,system,2025-08-27
116,1541,2,Receipt,2025-09-25,110,132.11,14532.1,PO-1504,Purchase Order Receipt,77,187,system,Transaction processed for Backup location,system,2025-09-25
117,3011,1,Receipt,2025-07-20,163,998.38,162735.94,PO-7641,Purchase Order Receipt,269,432,system,Transaction processed for WH_100 location,system,2025-07-20
118,3052,1,Receipt,2025-10-29,159,111.7,17760.3,PO-8662,Purchase Order Receipt,3,162,warehouse1,Transaction processed for WH_100 location,system,2025-10-29
119,1551,1,Receipt,2026-04-13,178,67.29,11977.62,PO-2909,Purchase Order Receipt,115,293,warehouse1,Transaction processed for WH_100 location,system,2026-04-13
120,1521,1,Receipt,2026-03-21,11,120.77,1328.47,PO-8672,Purchase Order Receipt,43,54,system,Transaction processed for WH_100 location,system,2026-03-21
121,3062,3,Transfer,2026-03-05,-26,88.18,2292.68,TRF-6352,Warehouse Transfer,26,0,warehouse2,Transaction processed for WH_500 location,system,2026-03-05
122,2051,1,Adjustment,2025-10-18,12,16.44,197.28,ADJ-122,Physical Count,137,149,warehouse2,Transaction processed for WH_100 location,system,2025-10-18
123,1532,1,Sale,2025-11-03,-2,67.64,135.28,SO-99550,Customer Sale,2,0,warehouse1,Transaction processed for WH_100 location,system,2025-11-03
124,1581,1,Sale,2026-03-28,-17,48.56,825.52,SO-33660,Customer Sale,31,14,warehouse2,Transaction processed for WH_100 location,system,2026-03-28
125,1571,1,Sale,2025-12-21,-31,109.65,3399.15,SO-92778,Customer Sale,177,146,warehouse2,Transaction processed for WH_100 location,system,2025-12-21
126,3033,1,Adjustment,2025-11-30,7,419.49,2936.43,ADJ-126,Cycle Count,125,132,warehouse1,Transaction processed for WH_100 location,system,2025-11-30
127,1522,2,Sale,2026-03-19,-4,163.1,652.4,SO-13561,Customer Sale,49,45,system,Transaction processed for Backup location,system,2026-03-19
128,2112,1,Sale,2026-02-25,-30,66.6,1998.0,SO-62840,Customer Sale,94,64,system,Transaction processed for WH_100 location,system,2026-02-25
129,3042,2,Sale,2026-03-23,-27,62.54,1688.58,SO-48323,Customer Sale,172,145,warehouse1,Transaction processed for Backup location,system,2026-03-23
130,3032,1,Sale,2025-08-12,-42,240.85,10115.7,SO-23872,Customer Sale,69,27,system,Transaction processed for WH_100 location,system,2025-08-12
131,3013,1,Sale,2025-12-24,-10,344.68,3446.8,SO-88288,Customer Sale,101,91,warehouse1,Transaction processed for WH_100 location,system,2025-12-24
132,3012,1,Receipt,2025-08-28,71,634.54,45052.34,PO-4124,Purchase Order Receipt,310,381,warehouse2,Transaction processed for WH_100 location,system,2025-08-28
133,1521,1,Sale,2026-03-04,-8,122.8,982.4,SO-24508,Customer Sale,63,55,system,Transaction processed for WH_100 location,system,2026-03-04
134,1551,1,Receipt,2025-10-10,93,65.29,6071.97,PO-6394,Purchase Order Receipt,114,207,system,Transaction processed for WH_100 location,system,2025-10-10
135,3032,1,Sale,2025-10-14,-19,240.85,4576.15,SO-67785,Customer Sale,49,30,warehouse1,Transaction processed for WH_100 location,system,2025-10-14
136,3104,2,Adjustment,2025-12-08,18,118.89,2140.02,ADJ-136,Cycle Count,15,33,system,Transaction processed for Backup location,system,2025-12-08
137,2011,1,Transfer,2026-04-25,-43,124.64,5359.52,TRF-5088,Warehouse Transfer,161,118,warehouse1,Transaction processed for WH_100 location,system,2026-04-25
138,1512,1,Sale,2025-12-26,-11,219.21,2411.31,SO-58935,Customer Sale,11,0,system,Transaction processed for WH_100 location,system,2025-12-26
139,2012,2,Return,2025-11-11,2,250.09,500.18,RET-65705,Customer Return,53,55,warehouse2,Transaction processed for Backup location,system,2025-11-11
140,3041,2,Transfer,2025-12-02,-21,127.74,2682.54,TRF-5934,Warehouse Transfer,36,15,warehouse1,Transaction processed for WH_200 location,system,2025-12-02
141,1522,1,Receipt,2025-09-11,70,160.62,11243.4,PO-5560,Purchase Order Receipt,194,264,system,Transaction processed for WH_100 location,system,2025-09-11
142,2022,1,Sale,2025-10-18,-19,36.37,691.03,SO-31661,Customer Sale,19,0,warehouse1,Transaction processed for WH_100 location,system,2025-10-18
143,3091,2,Receipt,2025-08-24,183,451.14,82558.62,PO-6881,Purchase Order Receipt,109,292,warehouse1,Transaction processed for Backup location,system,2025-08-24
144,3104,2,Sale,2025-12-12,-28,118.89,3328.92,SO-31255,Customer Sale,83,55,warehouse1,Transaction processed for WH_200 location,system,2025-12-12
145,2012,2,Receipt,2025-10-11,67,326.49,21874.83,PO-2475,Purchase Order Receipt,24,91,system,Transaction processed for Backup location,system,2025-10-11
146,3041,2,Damage,2026-02-16,-2,127.74,255.48,DMG-146,Shipping Damage,102,100,system,Transaction processed for Backup location,system,2026-02-16
147,3102,2,Return,2026-01-28,2,138.5,277.0,RET-79064,Customer Return,88,90,system,Transaction processed for Backup location,system,2026-01-28
148,3091,2,Transfer,2025-12-18,-29,456.94,13251.26,TRF-1885,Warehouse Transfer,122,93,system,Transaction processed for Backup location,system,2025-12-18
149,3032,1,Receipt,2025-09-18,81,242.87,19672.47,PO-6374,Purchase Order Receipt,5,86,system,Transaction processed for WH_100 location,system,2025-09-18
150,2022,1,Sale,2026-01-24,-8,36.37,290.96,SO-21674,Customer Sale,74,66,warehouse2,Transaction processed for WH_100 location,system,2026-01-24
151,1563,1,Sale,2025-09-16,-25,70.33,1758.25,SO-37831,Customer Sale,115,90,warehouse2,Transaction processed for WH_100 location,system,2025-09-16
152,1541,2,Sale,2026-04-20,-24,132.59,3182.16,SO-27056,Customer Sale,41,17,system,Transaction processed for Backup location,system,2026-04-20
153,2031,1,Sale,2025-10-05,-20,23.04,460.8,SO-43457,Customer Sale,127,107,system,Transaction processed for WH_100 location,system,2025-10-05
154,3042,1,Transfer,2026-03-25,-30,62.54,1876.2,TRF-8882,Warehouse Transfer,161,131,system,Transaction processed for WH_100 location,system,2026-03-25
155,1523,2,Sale,2026-04-15,-43,54.46,2341.78,SO-90671,Customer Sale,43,0,system,Transaction processed for WH_200 location,system,2026-04-15
156,2022,1,Sale,2026-01-15,-6,36.37,218.22,SO-76178,Customer Sale,43,37,warehouse1,Transaction processed for WH_100 location,system,2026-01-15
157,1531,1,Receipt,2026-03-06,89,87.09,7751.01,PO-5904,Purchase Order Receipt,31,120,warehouse2,Transaction processed for WH_100 location,system,2026-03-06
158,2121,1,Adjustment,2025-11-15,10,31.62,316.2,ADJ-158,Physical Count,12,22,warehouse2,Transaction processed for WH_100 location,system,2025-11-15
159,3092,1,Sale,2025-09-23,-48,540.11,25925.28,SO-97290,Customer Sale,241,193,warehouse1,Transaction processed for WH_100 location,system,2025-09-23
160,1543,1,Sale,2026-04-02,-16,65.36,1045.76,SO-88965,Customer Sale,127,111,warehouse1,Transaction processed for WH_100 location,system,2026-04-02
161,2021,1,Sale,2026-01-13,-46,71.31,3280.26,SO-25433,Customer Sale,94,48,warehouse2,Transaction processed for WH_100 location,system,2026-01-13
162,3101,1,Sale,2026-04-18,-1,114.44,114.44,SO-23079,Customer Sale,44,43,system,Transaction processed for WH_100 location,system,2026-04-18
163,3102,2,Sale,2025-10-12,-11,173.13,1904.43,SO-95624,Customer Sale,20,9,warehouse2,Transaction processed for Backup location,system,2025-10-12
164,3031,2,Receipt,2025-11-30,96,416.22,39957.12,PO-1699,Purchase Order Receipt,63,159,warehouse2,Transaction processed for Backup location,system,2025-11-30
165,2101,2,Sale,2026-04-19,-47,13.5,634.5,SO-40218,Customer Sale,120,73,system,Transaction processed for WH_200 location,system,2026-04-19
166,2012,1,Sale,2025-10-09,-33,312.61,10316.13,SO-24279,Customer Sale,186,153,warehouse1,Transaction processed for WH_100 location,system,2025-10-09
167,3053,1,Sale,2026-04-18,-11,180.15,1981.65,SO-45496,Customer Sale,117,106,system,Transaction processed for WH_100 location,system,2026-04-18
168,3042,1,Sale,2025-11-24,-2,62.54,125.08,SO-49236,Customer Sale,245,243,warehouse1,Transaction processed for WH_100 location,system,2025-11-24
169,1531,2,Receipt,2025-09-11,161,91.14,14673.54,PO-9001,Purchase Order Receipt,43,204,warehouse2,Transaction processed for Backup location,system,2025-09-11
170,1572,3,Adjustment,2025-12-14,17,222.59,3784.03,ADJ-170,Physical Count,118,135,system,Transaction processed for WH_500 location,system,2025-12-14
171,1523,2,Transfer,2025-08-06,-22,54.46,1198.12,TRF-6670,Warehouse Transfer,132,110,warehouse2,Transaction processed for WH_200 location,system,2025-08-06
172,3053,1,Sale,2025-08-10,-49,180.15,8827.35,SO-85074,Customer Sale,124,75,warehouse2,Transaction processed for WH_100 location,system,2025-08-10
173,3053,1,Sale,2025-11-06,-41,180.15,7386.15,SO-11524,Customer Sale,79,38,system,Transaction processed for WH_100 location,system,2025-11-06
174,1541,1,Sale,2025-11-02,-14,132.59,1856.26,SO-57687,Customer Sale,59,45,system,Transaction processed for WH_100 location,system,2025-11-02
175,3042,1,Sale,2026-02-15,-2,62.54,125.08,SO-40319,Customer Sale,242,240,system,Transaction processed for WH_100 location,system,2026-02-15
176,3042,2,Receipt,2026-04-18,88,61.53,5414.64,PO-9662,Purchase Order Receipt,51,139,system,Transaction processed for Backup location,system,2026-04-18
177,3042,2,Sale,2025-11-23,-20,62.54,1250.8,SO-97798,Customer Sale,71,51,warehouse2,Transaction processed for Backup location,system,2025-11-23
178,3022,1,Receipt,2025-12-25,39,370.0,14430.0,PO-9807,Purchase Order Receipt,124,163,warehouse2,Transaction processed for WH_100 location,system,2025-12-25
179,1571,1,Sale,2025-07-18,-14,109.65,1535.1,SO-14866,Customer Sale,280,266,system,Transaction processed for WH_100 location,system,2025-07-18
180,3104,2,Sale,2025-11-12,-14,118.89,1664.46,SO-88912,Customer Sale,115,101,warehouse1,Transaction processed for WH_200 location,system,2025-11-12
181,1561,2,Sale,2025-12-25,-34,82.06,2790.04,SO-51179,Customer Sale,77,43,warehouse2,Transaction processed for Backup location,system,2025-12-25
182,2022,1,Transfer,2025-09-04,-23,36.37,836.51,TRF-6252,Warehouse Transfer,182,159,system,Transaction processed for WH_100 location,system,2025-09-04
183,2022,1,Sale,2025-10-17,-31,36.37,1127.47,SO-30651,Customer Sale,199,168,system,Transaction processed for WH_100 location,system,2025-10-17
