PurchaseOrderItemID,PurchaseOrderID,ProductID,QuantityOrdered,QuantityReceived,UnitCost,LineTotal,Status,ExpectedDate,ReceivedDate,Notes,CreatedBy,CreatedDate
17,6,3012,29,21.0,676.38,19615.02,Backordered,2026-04-02,2026-04-04,Supplier SKU: WOR-3012,system,2026-03-12
18,7,3103,25,25.0,180.33,4508.25,Received,2026-02-28,2026-03-02,Supplier SKU: ALP-3103,system,2026-02-17
19,7,3061,21,21.0,151.7,3185.7,Received,2026-02-28,2026-03-02,Supplier SKU: ALP-3061,system,2026-02-17
20,8,1541,1,,137.75,137.75,Shipped,2026-04-30,,Supplier SKU: WOR-1541,system,2026-04-11
21,8,3053,85,,174.26,14812.1,Shipped,2026-04-30,,Supplier SKU: WOR-3053,system,2026-04-11
22,8,2121,210,,33.23,6978.3,Shipped,2026-04-30,,Supplier SKU: WOR-2121,system,2026-04-11
23,8,3012,89,,676.38,60197.82,Shipped,2026-04-30,,Supplier SKU: WOR-3012,system,2026-04-11
24,8,2011,36,,130.73,4706.28,Shipped,2026-04-30,,Supplier SKU: WOR-2011,system,2026-04-11
25,9,1552,13,13.0,58.45,759.85,Received,2026-03-27,2026-03-27,Supplier SKU: CON-1552,system,2026-03-12
26,10,3072,151,,11.41,1722.91,Shipped,2026-03-25,,Supplier SKU: FAB-3072,system,2026-03-07
27,10,3011,19,,910.08,17291.52,Shipped,2026-03-25,,Supplier SKU: FAB-3011,system,2026-03-07
28,10,3012,5,,703.52,3517.6,Shipped,2026-03-25,,Supplier SKU: FAB-3012,system,2026-03-07
29,10,3102,1,,194.91,194.91,Shipped,2026-03-25,,Supplier SKU: FAB-3102,system,2026-03-07
30,10,3053,98,,211.38,20715.24,Shipped,2026-03-25,,Supplier SKU: FAB-3053,system,2026-03-07
31,11,2101,48,48.0,13.5,648.0,Received,2026-04-04,2026-04-05,Supplier SKU: PRO-2101,system,2026-03-26
32,11,2112,16,16.0,66.6,1065.6,Received,2026-04-04,2026-04-05,Supplier SKU: PRO-2112,system,2026-03-26
33,11,2121,14,14.0,30.0,420.0,Received,2026-04-04,2026-04-05,Supplier SKU: PRO-2121,system,2026-03-26
34,11,2051,96,96.0,16.44,1578.24,Received,2026-04-04,2026-04-05,Supplier SKU: PRO-2051,system,2026-03-26
35,11,2111,4,4.0,123.0,492.0,Received,2026-04-04,2026-04-05,Supplier SKU: PRO-2111,system,2026-03-26
36,12,2121,9,9.0,30.0,270.0,Received,2026-04-27,2026-04-27,Supplier SKU: PRO-2121,system,2026-04-12
37,12,2021,42,42.0,71.31,2995.02,Received,2026-04-27,2026-04-27,Supplier SKU: PRO-2021,system,2026-04-12
38,12,2041,63,63.0,44.39,2796.57,Received,2026-04-27,2026-04-27,Supplier SKU: PRO-2041,system,2026-04-12
39,12,2091,1,0.0,7.98,7.98,Backordered,2026-04-27,2026-04-27,Supplier SKU: PRO-2091,system,2026-04-12
40,12,2081,11,11.0,25.3,278.3,Received,2026-04-27,2026-04-27,Supplier SKU: PRO-2081,system,2026-04-12
41,13,3031,2,2.0,419.97,839.94,Received,2026-02-20,2026-02-22,Supplier SKU: ALP-3031,system,2026-02-07
42,13,3103,9,8.0,180.33,1622.97,Backordered,2026-02-20,2026-02-22,Supplier SKU: ALP-3103,system,2026-02-07
43,13,3033,20,20.0,419.49,8389.8,Received,2026-02-20,2026-02-22,Supplier SKU: ALP-3033,system,2026-02-07
44,13,3072,48,48.0,9.99,479.52,Received,2026-02-20,2026-02-22,Supplier SKU: ALP-3072,system,2026-02-07
45,13,3071,46,46.0,39.17,1801.82,Received,2026-02-20,2026-02-22,Supplier SKU: ALP-3071,system,2026-02-07
46,14,3101,105,105.0,132.32,13893.6,Received,2026-04-05,2026-04-07,Supplier SKU: WOR-3101,system,2026-03-16
47,14,3053,108,108.0,174.26,18820.08,Received,2026-04-05,2026-04-07,Supplier SKU: WOR-3053,system,2026-03-16
48,14,1541,1,0.0,137.75,137.75,Backordered,2026-04-05,2026-04-07,Supplier SKU: WOR-1541,system,2026-03-16
49,15,3021,44,44.0,278.45,12251.8,Received,2026-03-22,2026-03-25,Supplier SKU: FAB-3021,system,2026-03-05
50,15,3012,5,5.0,703.52,3517.6,Received,2026-03-22,2026-03-25,Supplier SKU: FAB-3012,system,2026-03-05
51,15,3011,28,20.0,910.08,25482.24,Backordered,2026-03-22,2026-03-25,Supplier SKU: FAB-3011,system,2026-03-05
52,15,3053,107,107.0,211.38,22617.66,Received,2026-03-22,2026-03-25,Supplier SKU: FAB-3053,system,2026-03-05
53,16,2031,19,19.0,23.04,437.76,Received,2026-04-12,2026-04-12,Supplier SKU: PRO-2031,system,2026-03-30
54,16,2111,2,2.0,123.0,246.0,Received,2026-04-12,2026-04-12,Supplier SKU: PRO-2111,system,2026-03-30
55,17,3101,92,,132.32,12173.44,Pending,2026-05-10,,Supplier SKU: WOR-3101,system,2026-04-18
56,17,3053,40,,174.26,6970.4,Pending,2026-05-10,,Supplier SKU: WOR-3053,system,2026-04-18
57,17,3012,55,,676.38,37200.9,Pending,2026-05-10,,Supplier SKU: WOR-3012,system,2026-04-18
58,17,1511,39,,360.55,14061.45,Pending,2026-05-10,,Supplier SKU: WOR-1511,system,2026-04-18
59,17,2111,66,,162.2,10705.2,Pending,2026-05-10,,Supplier SKU: WOR-2111,system,2026-04-18
60,18,3011,34,34.0,910.08,30942.72,Received,2026-03-24,2026-03-25,Supplier SKU: FAB-3011,system,2026-03-10
61,18,3072,239,239.0,11.41,2726.99,Received,2026-03-24,2026-03-25,Supplier SKU: FAB-3072,system,2026-03-10
62,18,3053,145,123.0,211.38,30650.1,Backordered,2026-03-24,2026-03-25,Supplier SKU: FAB-3053,system,2026-03-10
63,18,3012,4,4.0,703.52,2814.08,Received,2026-03-24,2026-03-25,Supplier SKU: FAB-3012,system,2026-03-10
64,19,3081,4,4.0,58.16,232.64,Received,2026-02-14,2026-02-14,Supplier SKU: ALP-3081,system,2026-02-02
65,19,3032,20,20.0,240.85,4817.0,Received,2026-02-14,2026-02-14,Supplier SKU: ALP-3032,system,2026-02-02
66,20,3092,17,17.0,540.11,9181.87,Received,2026-04-01,2026-04-04,Supplier SKU: ALP-3092,system,2026-03-20
67,20,3032,41,41.0,240.85,9874.85,Received,2026-04-01,2026-04-04,Supplier SKU: ALP-3032,system,2026-03-20
68,21,1561,105,105.0,82.06,8616.3,Received,2026-03-13,2026-03-14,Supplier SKU: CON-1561,system,2026-03-02
69,21,1563,1,1.0,70.33,70.33,Received,2026-03-13,2026-03-14,Supplier SKU: CON-1563,system,2026-03-02
70,21,1562,62,62.0,121.04,7504.48,Received,2026-03-13,2026-03-14,Supplier SKU: CON-1562,system,2026-03-02
71,22,3012,139,139.0,597.44,83044.16,Received,2026-04-04,2026-04-07,Supplier SKU: ALP-3012,system,2026-03-19
72,22,3081,5,5.0,58.16,290.8,Received,2026-04-04,2026-04-07,Supplier SKU: ALP-3081,system,2026-03-19
73,22,3042,2,2.0,62.54,125.08,Received,2026-04-04,2026-04-07,Supplier SKU: ALP-3042,system,2026-03-19
74,23,2091,4,4.0,7.98,31.92,Received,2026-04-24,2026-04-27,Supplier SKU: PRO-2091,system,2026-04-13
75,23,2051,129,129.0,16.44,2120.76,Received,2026-04-24,2026-04-27,Supplier SKU: PRO-2051,system,2026-04-13
76,23,2061,41,41.0,25.72,1054.52,Received,2026-04-24,2026-04-27,Supplier SKU: PRO-2061,system,2026-04-13
77,24,3102,3,3.0,194.91,584.73,Received,2026-04-06,2026-04-08,Supplier SKU: FAB-3102,system,2026-03-24
78,25,3092,8,8.0,540.11,4320.88,Received,2026-04-09,2026-04-09,Supplier SKU: ALP-3092,system,2026-03-30
79,25,3031,3,3.0,419.97,1259.91,Received,2026-04-09,2026-04-09,Supplier SKU: ALP-3031,system,2026-03-30
80,25,3012,95,68.0,597.44,56756.8,Backordered,2026-04-09,2026-04-09,Supplier SKU: ALP-3012,system,2026-03-30
81,25,3032,24,17.0,240.85,5780.4,Backordered,2026-04-09,2026-04-09,Supplier SKU: ALP-3032,system,2026-03-30
82,26,3072,114,,11.41,1300.74,Shipped,2026-05-08,,Supplier SKU: FAB-3072,system,2026-04-25
83,26,3011,46,,910.08,41863.68,Shipped,2026-05-08,,Supplier SKU: FAB-3011,system,2026-04-25
84,27,3061,8,6.0,151.7,1213.6,Backordered,2026-03-01,2026-03-08,Supplier SKU: ALP-3061,system,2026-02-15
85,27,3031,3,3.0,419.97,1259.91,Received,2026-03-01,2026-03-08,Supplier SKU: ALP-3031,system,2026-02-15
86,27,3051,141,127.0,226.49,31935.09,Backordered,2026-03-01,2026-03-08,Supplier SKU: ALP-3051,system,2026-02-15
87,27,3021,34,34.0,262.32,8918.88,Received,2026-03-01,2026-03-08,Supplier SKU: ALP-3021,system,2026-02-15
88,27,3013,114,114.0,344.68,39293.52,Received,2026-03-01,2026-03-08,Supplier SKU: ALP-3013,system,2026-02-15
89,28,1541,25,25.0,127.43,3185.75,Received,2026-03-23,2026-03-26,Supplier SKU: CON-1541,system,2026-03-10
90,28,1561,47,32.0,82.06,3856.82,Backordered,2026-03-23,2026-03-26,Supplier SKU: CON-1561,system,2026-03-10
91,28,1572,2,2.0,222.59,445.18,Received,2026-03-23,2026-03-26,Supplier SKU: CON-1572,system,2026-03-10
92,28,1542,2,2.0,90.83,181.66,Received,2026-03-23,2026-03-26,Supplier SKU: CON-1542,system,2026-03-10
93,29,3102,3,2.0,194.91,584.73,Backordered,2026-02-23,2026-02-23,Supplier SKU: FAB-3102,system,2026-02-10
94,29,3012,2,2.0,703.52,1407.04,Received,2026-02-23,2026-02-23,Supplier SKU: FAB-3012,system,2026-02-10
95,29,3072,199,199.0,11.41,2270.59,Received,2026-02-23,2026-02-23,Supplier SKU: FAB-3072,system,2026-02-10
96,29,3062,15,15.0,94.79,1421.85,Received,2026-02-23,2026-02-23,Supplier SKU: FAB-3062,system,2026-02-10
97,30,3103,13,13.0,180.33,2344.29,Received,2026-04-05,2026-04-08,Supplier SKU: ALP-3103,system,2026-03-23
98,30,3022,9,9.0,352.53,3172.77,Received,2026-04-05,2026-04-08,Supplier SKU: ALP-3022,system,2026-03-23
99,30,3033,18,18.0,419.49,7550.82,Received,2026-04-05,2026-04-08,Supplier SKU: ALP-3033,system,2026-03-23
100,31,2111,108,108.0,162.2,17517.6,Received,2026-04-24,2026-04-24,Supplier SKU: WOR-2111,system,2026-04-02
101,31,3101,123,123.0,132.32,16275.36,Received,2026-04-24,2026-04-24,Supplier SKU: WOR-3101,system,2026-04-02
102,32,3012,1,1.0,703.52,703.52,Received,2026-03-06,2026-03-06,Supplier SKU: FAB-3012,system,2026-02-21
103,32,3053,177,177.0,211.38,37414.26,Received,2026-03-06,2026-03-06,Supplier SKU: FAB-3053,system,2026-02-21
104,33,3072,189,,11.41,2156.49,Shipped,2026-05-13,,Supplier SKU: FAB-3072,system,2026-04-28
105,33,3053,90,,211.38,19024.2,Shipped,2026-05-13,,Supplier SKU: FAB-3053,system,2026-04-28
106,34,2112,12,12.0,66.6,799.2,Received,2026-03-02,2026-03-03,Supplier SKU: PRO-2112,system,2026-02-18
107,34,2091,5,5.0,7.98,39.9,Received,2026-03-02,2026-03-03,Supplier SKU: PRO-2091,system,2026-02-18
108,34,2061,46,46.0,25.72,1183.12,Received,2026-03-02,2026-03-03,Supplier SKU: PRO-2061,system,2026-02-18
109,35,2121,167,167.0,33.23,5549.41,Received,2026-03-30,2026-03-30,Supplier SKU: WOR-2121,system,2026-03-04
110,35,3012,52,52.0,676.38,35171.76,Received,2026-03-30,2026-03-30,Supplier SKU: WOR-3012,system,2026-03-04
111,35,3053,86,86.0,174.26,14986.36,Received,2026-03-30,2026-03-30,Supplier SKU: WOR-3053,system,2026-03-04
112,35,2011,57,57.0,130.73,7451.61,Received,2026-03-30,2026-03-30,Supplier SKU: WOR-2011,system,2026-03-04
113,35,2111,94,94.0,162.2,15246.8,Received,2026-03-30,2026-03-30,Supplier SKU: WOR-2111,system,2026-03-04
114,36,2091,1,,7.98,7.98,Pending,2026-05-07,,Supplier SKU: PRO-2091,system,2026-04-22
115,37,3104,2,2.0,118.89,237.78,Received,2026-04-25,2026-04-27,Supplier SKU: ALP-3104,system,2026-04-13
116,38,3072,66,66.0,11.41,753.06,Received,2026-03-20,2026-03-21,Supplier SKU: FAB-3072,system,2026-03-07
117,39,2012,29,29.0,312.61,9065.69,Received,2026-03-29,2026-04-01,Supplier SKU: PRO-2012,system,2026-03-16
118,39,2081,11,8.0,25.3,278.3,Backordered,2026-03-29,2026-04-01,Supplier SKU: PRO-2081,system,2026-03-16
119,39,2051,176,176.0,16.44,2893.44,Received,2026-03-29,2026-04-01,Supplier SKU: PRO-2051,system,2026-03-16
120,40,1541,11,,127.43,1401.73,Pending,2026-05-09,,Supplier SKU: CON-1541,system,2026-04-25
121,41,3072,151,,11.41,1722.91,Pending,2026-05-05,,Supplier SKU: FAB-3072,system,2026-04-20
122,41,3021,58,,278.45,16150.1,Pending,2026-05-05,,Supplier SKU: FAB-3021,system,2026-04-20
123,42,3072,54,54.0,11.41,616.14,Received,2026-04-10,2026-04-13,Supplier SKU: FAB-3072,system,2026-03-26
124,42,3021,38,38.0,278.45,10581.1,Received,2026-04-10,2026-04-13,Supplier SKU: FAB-3021,system,2026-03-26
125,42,3053,60,60.0,211.38,12682.8,Received,2026-04-10,2026-04-13,Supplier SKU: FAB-3053,system,2026-03-26
126,43,2112,17,17.0,66.6,1132.2,Received,2026-03-16,2026-03-16,Supplier SKU: PRO-2112,system,2026-03-05
127,44,3072,57,57.0,11.41,650.37,Received,2026-03-20,2026-03-22,Supplier SKU: FAB-3072,system,2026-03-05
128,45,2022,22,18.0,36.37,800.14,Backordered,2026-03-08,2026-03-08,Supplier SKU: PRO-2022,system,2026-02-24
129,45,2112,11,10.0,66.6,732.6,Backordered,2026-03-08,2026-03-08,Supplier SKU: PRO-2112,system,2026-02-24
130,46,2021,40,40.0,71.31,2852.4,Received,2026-02-17,2026-02-19,Supplier SKU: PRO-2021,system,2026-02-06
131,46,2071,25,25.0,21.94,548.5,Received,2026-02-17,2026-02-19,Supplier SKU: PRO-2071,system,2026-02-06
132,46,2051,156,156.0,16.44,2564.64,Received,2026-02-17,2026-02-19,Supplier SKU: PRO-2051,system,2026-02-06
133,46,2041,76,76.0,44.39,3373.64,Received,2026-02-17,2026-02-19,Supplier SKU: PRO-2041,system,2026-02-06
134,46,2031,21,21.0,23.04,483.84,Received,2026-02-17,2026-02-19,Supplier SKU: PRO-2031,system,2026-02-06
135,47,1533,16,16.0,107.2,1715.2,Received,2026-03-17,2026-03-20,Supplier SKU: CON-1533,system,2026-03-02
136,48,2061,50,50.0,25.72,1286.0,Received,2026-03-29,2026-04-01,Supplier SKU: PRO-2061,system,2026-03-14
137,48,2011,8,8.0,118.56,948.48,Received,2026-03-29,2026-04-01,Supplier SKU: PRO-2011,system,2026-03-14
138,48,2081,9,9.0,25.3,227.7,Received,2026-03-29,2026-04-01,Supplier SKU: PRO-2081,system,2026-03-14
139,48,2111,3,3.0,123.0,369.0,Received,2026-03-29,2026-04-01,Supplier SKU: PRO-2111,system,2026-03-14
140,48,2022,17,17.0,36.37,618.29,Received,2026-03-29,2026-04-01,Supplier SKU: PRO-2022,system,2026-03-14
141,49,3102,2,2.0,194.91,389.82,Received,2026-04-05,2026-04-08,Supplier SKU: FAB-3102,system,2026-03-23
142,49,3053,206,206.0,211.38,43544.28,Received,2026-04-05,2026-04-08,Supplier SKU: FAB-3053,system,2026-03-23
143,49,3012,5,5.0,703.52,3517.6,Received,2026-04-05,2026-04-08,Supplier SKU: FAB-3012,system,2026-03-23
144,50,3053,118,118.0,211.38,24942.84,Received,2026-02-28,2026-02-28,Supplier SKU: FAB-3053,system,2026-02-16
145,50,3012,4,4.0,703.52,2814.08,Received,2026-02-28,2026-02-28,Supplier SKU: FAB-3012,system,2026-02-16
146,50,3062,40,29.0,94.79,3791.6,Backordered,2026-02-28,2026-02-28,Supplier SKU: FAB-3062,system,2026-02-16
147,51,2061,20,19.0,25.72,514.4,Backordered,2026-03-25,2026-03-31,Supplier SKU: PRO-2061,system,2026-03-14
148,51,2022,22,15.0,36.37,800.14,Backordered,2026-03-25,2026-03-31,Supplier SKU: PRO-2022,system,2026-03-14
149,51,2031,13,13.0,23.04,299.52,Received,2026-03-25,2026-03-31,Supplier SKU: PRO-2031,system,2026-03-14
150,51,2051,165,165.0,16.44,2712.6,Received,2026-03-25,2026-03-31,Supplier SKU: PRO-2051,system,2026-03-14
151,52,2091,3,,7.98,23.94,Shipped,2026-05-05,,Supplier SKU: PRO-2091,system,2026-04-23
152,52,2112,15,,66.6,999.0,Shipped,2026-05-05,,Supplier SKU: PRO-2112,system,2026-04-23
153,52,2051,241,,16.44,3962.04,Shipped,2026-05-05,,Supplier SKU: PRO-2051,system,2026-04-23
154,52,2071,24,,21.94,526.56,Shipped,2026-05-05,,Supplier SKU: PRO-2071,system,2026-04-23
155,52,2111,3,,123.0,369.0,Shipped,2026-05-05,,Supplier SKU: PRO-2111,system,2026-04-23
156,53,2091,5,5.0,7.98,39.9,Received,2026-02-11,2026-02-12,Supplier SKU: PRO-2091,system,2026-01-31
157,53,2031,6,6.0,23.04,138.24,Received,2026-02-11,2026-02-12,Supplier SKU: PRO-2031,system,2026-01-31
158,54,2011,54,54.0,130.73,7059.42,Received,2026-03-23,2026-03-24,Supplier SKU: WOR-2011,system,2026-02-28
159,54,1511,13,13.0,360.55,4687.15,Received,2026-03-23,2026-03-24,Supplier SKU: WOR-1511,system,2026-02-28
160,54,2121,179,179.0,33.23,5948.17,Received,2026-03-23,2026-03-24,Supplier SKU: WOR-2121,system,2026-02-28
161,54,3101,61,61.0,132.32,8071.52,Received,2026-03-23,2026-03-24,Supplier SKU: WOR-3101,system,2026-02-28
162,54,2111,36,36.0,162.2,5839.2,Received,2026-03-23,2026-03-24,Supplier SKU: WOR-2111,system,2026-02-28
163,55,2031,9,9.0,23.04,207.36,Received,2026-04-04,2026-04-04,Supplier SKU: PRO-2031,system,2026-03-25
164,56,3103,13,13.0,180.33,2344.29,Received,2026-02-18,2026-02-20,Supplier SKU: ALP-3103,system,2026-02-08
165,57,3053,14,14.0,154.8,2167.2,Received,2026-03-26,2026-03-28,Supplier SKU: ALP-3053,system,2026-03-10
166,57,3102,164,164.0,151.35,24821.4,Received,2026-03-26,2026-03-28,Supplier SKU: ALP-3102,system,2026-03-10
167,57,3082,92,92.0,84.82,7803.44,Received,2026-03-26,2026-03-28,Supplier SKU: ALP-3082,system,2026-03-10
168,58,2091,3,3.0,7.98,23.94,Received,2026-04-13,2026-04-15,Supplier SKU: PRO-2091,system,2026-03-31
169,58,2051,166,166.0,16.44,2729.04,Received,2026-04-13,2026-04-15,Supplier SKU: PRO-2051,system,2026-03-31
170,58,2101,47,47.0,13.5,634.5,Received,2026-04-13,2026-04-15,Supplier SKU: PRO-2101,system,2026-03-31
171,59,1511,32,32.0,360.55,11537.6,Received,2026-03-10,2026-03-12,Supplier SKU: WOR-1511,system,2026-02-13
172,59,3012,109,109.0,676.38,73725.42,Received,2026-03-10,2026-03-12,Supplier SKU: WOR-3012,system,2026-02-13
173,59,2121,211,148.0,33.23,7011.53,Backordered,2026-03-10,2026-03-12,Supplier SKU: WOR-2121,system,2026-02-13
174,60,1523,16,16.0,54.46,871.36,Received,2026-03-22,2026-03-22,Supplier SKU: CON-1523,system,2026-03-08
175,60,1562,32,32.0,121.04,3873.28,Received,2026-03-22,2026-03-22,Supplier SKU: CON-1562,system,2026-03-08
176,61,1532,20,20.0,67.64,1352.8,Received,2026-04-23,2026-04-26,Supplier SKU: CON-1532,system,2026-04-10
177,61,1551,99,99.0,67.04,6636.96,Received,2026-04-23,2026-04-26,Supplier SKU: CON-1551,system,2026-04-10
178,61,1552,22,22.0,58.45,1285.9,Received,2026-04-23,2026-04-26,Supplier SKU: CON-1552,system,2026-04-10
179,61,1523,42,42.0,54.46,2287.32,Received,2026-04-23,2026-04-26,Supplier SKU: CON-1523,system,2026-04-10
180,62,2012,34,34.0,312.61,10628.74,Received,2026-04-04,2026-04-06,Supplier SKU: PRO-2012,system,2026-03-24
181,62,2071,19,19.0,21.94,416.86,Received,2026-04-04,2026-04-06,Supplier SKU: PRO-2071,system,2026-03-24
182,62,2022,11,11.0,36.37,400.07,Received,2026-04-04,2026-04-06,Supplier SKU: PRO-2022,system,2026-03-24
183,62,2041,90,90.0,44.39,3995.1,Received,2026-04-04,2026-04-06,Supplier SKU: PRO-2041,system,2026-03-24
184,62,2112,21,21.0,66.6,1398.6,Received,2026-04-04,2026-04-06,Supplier SKU: PRO-2112,system,2026-03-24
185,63,1541,10,10.0,127.43,1274.3,Received,2026-02-21,2026-02-24,Supplier SKU: CON-1541,system,2026-02-06
186,63,1581,4,4.0,48.56,194.24,Received,2026-02-21,2026-02-24,Supplier SKU: CON-1581,system,2026-02-06
187,63,1512,116,116.0,219.21,25428.36,Received,2026-02-21,2026-02-24,Supplier SKU: CON-1512,system,2026-02-06
188,64,1521,17,17.0,122.8,2087.6,Received,2026-03-10,2026-03-12,Supplier SKU: CON-1521,system,2026-02-23
189,64,1551,234,234.0,67.04,15687.36,Received,2026-03-10,2026-03-12,Supplier SKU: CON-1551,system,2026-02-23
190,65,1521,17,17.0,122.8,2087.6,Received,2026-03-21,2026-03-22,Supplier SKU: CON-1521,system,2026-03-07
191,65,1533,20,20.0,107.2,2144.0,Received,2026-03-21,2026-03-22,Supplier SKU: CON-1533,system,2026-03-07
192,65,1541,17,17.0,127.43,2166.31,Received,2026-03-21,2026-03-22,Supplier SKU: CON-1541,system,2026-03-07
193,65,1551,138,138.0,67.04,9251.52,Received,2026-03-21,2026-03-22,Supplier SKU: CON-1551,system,2026-03-07
194,65,1511,43,43.0,283.37,12184.91,Received,2026-03-21,2026-03-22,Supplier SKU: CON-1511,system,2026-03-07
195,66,3012,1,1.0,703.52,703.52,Received,2026-03-11,2026-03-14,Supplier SKU: FAB-3012,system,2026-02-27
196,66,3021,110,110.0,278.45,30629.5,Received,2026-03-11,2026-03-14,Supplier SKU: FAB-3021,system,2026-02-27
197,67,2112,5,4.0,66.6,333.0,Backordered,2026-04-20,2026-04-22,Supplier SKU: PRO-2112,system,2026-04-09
198,67,2061,23,23.0,25.72,591.56,Received,2026-04-20,2026-04-22,Supplier SKU: PRO-2061,system,2026-04-09
199,67,2091,5,5.0,7.98,39.9,Received,2026-04-20,2026-04-22,Supplier SKU: PRO-2091,system,2026-04-09
200,67,2022,20,20.0,36.37,727.4,Received,2026-04-20,2026-04-22,Supplier SKU: PRO-2022,system,2026-04-09
201,68,3082,126,126.0,84.82,10687.32,Received,2026-04-07,2026-04-10,Supplier SKU: ALP-3082,system,2026-03-21
202,69,2041,56,,44.39,2485.84,Pending,2026-05-08,,Supplier SKU: PRO-2041,system,2026-04-29
203,69,2022,25,,36.37,909.25,Pending,2026-05-08,,Supplier SKU: PRO-2022,system,2026-04-29
204,69,2011,8,,118.56,948.48,Pending,2026-05-08,,Supplier SKU: PRO-2011,system,2026-04-29
205,69,2031,7,,23.04,161.28,Pending,2026-05-08,,Supplier SKU: PRO-2031,system,2026-04-29
206,69,2101,46,,13.5,621.0,Pending,2026-05-08,,Supplier SKU: PRO-2101,system,2026-04-29
207,70,3031,1,1.0,419.97,419.97,Received,2026-04-24,2026-04-27,Supplier SKU: ALP-3031,system,2026-04-08
208,70,3011,16,16.0,1027.27,16436.32,Received,2026-04-24,2026-04-27,Supplier SKU: ALP-3011,system,2026-04-08
209,70,3022,13,13.0,352.53,4582.89,Received,2026-04-24,2026-04-27,Supplier SKU: ALP-3022,system,2026-04-08
210,71,3012,127,127.0,597.44,75874.88,Received,2026-03-25,2026-03-28,Supplier SKU: ALP-3012,system,2026-03-09
211,71,3092,12,9.0,540.11,6481.32,Backordered,2026-03-25,2026-03-28,Supplier SKU: ALP-3092,system,2026-03-09
212,72,3011,48,48.0,910.08,43683.84,Received,2026-03-21,2026-03-22,Supplier SKU: FAB-3011,system,2026-03-04
213,72,3012,3,3.0,703.52,2110.56,Received,2026-03-21,2026-03-22,Supplier SKU: FAB-3012,system,2026-03-04
214,72,3072,91,91.0,11.41,1038.31,Received,2026-03-21,2026-03-22,Supplier SKU: FAB-3072,system,2026-03-04
215,72,3062,45,45.0,94.79,4265.55,Received,2026-03-21,2026-03-22,Supplier SKU: FAB-3062,system,2026-03-04
216,72,3021,99,99.0,278.45,27566.55,Received,2026-03-21,2026-03-22,Supplier SKU: FAB-3021,system,2026-03-04
217,73,2121,146,146.0,33.23,4851.58,Received,2026-04-04,2026-04-05,Supplier SKU: WOR-2121,system,2026-03-10
218,73,3053,83,83.0,174.26,14463.58,Received,2026-04-04,2026-04-05,Supplier SKU: WOR-3053,system,2026-03-10
219,74,3012,106,93.0,676.38,71696.28,Backordered,2026-03-31,2026-04-01,Supplier SKU: WOR-3012,system,2026-03-10
220,74,3101,58,58.0,132.32,7674.56,Received,2026-03-31,2026-04-01,Supplier SKU: WOR-3101,system,2026-03-10
221,74,1511,32,32.0,360.55,11537.6,Received,2026-03-31,2026-04-01,Supplier SKU: WOR-1511,system,2026-03-10
222,74,1541,3,3.0,137.75,413.25,Received,2026-03-31,2026-04-01,Supplier SKU: WOR-1541,system,2026-03-10
223,75,1512,118,118.0,219.21,25866.78,Received,2026-03-09,2026-03-10,Supplier SKU: CON-1512,system,2026-02-28
224,75,1581,3,3.0,48.56,145.68,Received,2026-03-09,2026-03-10,Supplier SKU: CON-1581,system,2026-02-28
